prompt_index,prompt,image_index,score
0,{} barn in snowy ice,0,78.46016693115234
0,{} barn in snowy ice,1,70.18093872070312
0,{} barn in snowy ice,2,70.55062103271484
0,{} barn in snowy ice,3,78.0224609375
0,{} barn in snowy ice,4,75.16981506347656
0,{} barn in snowy ice,5,68.4058837890625
0,{} barn in snowy ice,6,72.70976257324219
0,{} barn in snowy ice,7,72.82624816894531
0,{} barn in snowy ice,8,71.93296813964844
0,{} barn in snowy ice,9,76.27591705322266
0,{} barn in snowy ice,10,73.44888305664062
0,{} barn in snowy ice,11,77.06529235839844
0,{} barn in snowy ice,12,72.44552612304688
0,{} barn in snowy ice,13,78.87865447998047
0,{} barn in snowy ice,14,76.24544525146484
0,{} barn in snowy ice,15,75.78050994873047
0,{} barn in snowy ice,16,75.19674682617188
0,{} barn in snowy ice,17,77.0147933959961
0,{} barn in snowy ice,18,81.72596740722656
0,{} barn in snowy ice,19,76.82347106933594
0,{} barn in snowy ice,20,71.07070922851562
0,{} barn in snowy ice,21,72.7607421875
0,{} barn in snowy ice,22,80.1546401977539
0,{} barn in snowy ice,23,75.82324981689453
0,{} barn in snowy ice,24,73.14990234375
0,{} barn in snowy ice,25,67.62742614746094
0,{} barn in snowy ice,26,71.84171295166016
0,{} barn in snowy ice,27,75.56270599365234
0,{} barn in snowy ice,28,69.27152252197266
0,{} barn in snowy ice,29,81.0545425415039
0,{} barn in snowy ice,30,73.81654357910156
0,{} barn in snowy ice,31,81.01768493652344
0,{} barn in snowy ice,32,71.08251953125
0,{} barn in snowy ice,33,80.45230102539062
0,{} barn in snowy ice,34,66.80059814453125
0,{} barn in snowy ice,35,72.02925872802734
0,{} barn in snowy ice,36,77.58982849121094
0,{} barn in snowy ice,37,62.983131408691406
0,{} barn in snowy ice,38,76.67928314208984
0,{} barn in snowy ice,39,68.73914337158203
0,{} barn in snowy ice,40,76.93207550048828
0,{} barn in snowy ice,41,74.91336822509766
0,{} barn in snowy ice,42,67.9151382446289
0,{} barn in snowy ice,43,78.43181610107422
0,{} barn in snowy ice,44,77.66588592529297
0,{} barn in snowy ice,45,77.0692138671875
0,{} barn in snowy ice,46,79.58758544921875
0,{} barn in snowy ice,47,75.03185272216797
0,{} barn in snowy ice,48,79.572021484375
0,{} barn in snowy ice,49,79.15982055664062
1,{} barn surrounded by blooming sunflower field,0,70.35823059082031
1,{} barn surrounded by blooming sunflower field,1,73.26416015625
1,{} barn surrounded by blooming sunflower field,2,74.31855773925781
1,{} barn surrounded by blooming sunflower field,3,71.11847686767578
1,{} barn surrounded by blooming sunflower field,4,71.6018295288086
1,{} barn surrounded by blooming sunflower field,5,71.56130981445312
1,{} barn surrounded by blooming sunflower field,6,69.3921890258789
1,{} barn surrounded by blooming sunflower field,7,76.52510833740234
1,{} barn surrounded by blooming sunflower field,8,65.38207244873047
1,{} barn surrounded by blooming sunflower field,9,70.7870864868164
1,{} barn surrounded by blooming sunflower field,10,69.91352844238281
1,{} barn surrounded by blooming sunflower field,11,71.29552459716797
1,{} barn surrounded by blooming sunflower field,12,69.97464752197266
1,{} barn surrounded by blooming sunflower field,13,76.26641082763672
1,{} barn surrounded by blooming sunflower field,14,74.07038116455078
1,{} barn surrounded by blooming sunflower field,15,65.09526824951172
1,{} barn surrounded by blooming sunflower field,16,73.32425689697266
1,{} barn surrounded by blooming sunflower field,17,71.92698669433594
1,{} barn surrounded by blooming sunflower field,18,71.1114730834961
1,{} barn surrounded by blooming sunflower field,19,72.11648559570312
1,{} barn surrounded by blooming sunflower field,20,73.84921264648438
1,{} barn surrounded by blooming sunflower field,21,72.44132995605469
1,{} barn surrounded by blooming sunflower field,22,68.10845947265625
1,{} barn surrounded by blooming sunflower field,23,75.0844497680664
1,{} barn surrounded by blooming sunflower field,24,69.5496826171875
1,{} barn surrounded by blooming sunflower field,25,70.99051666259766
1,{} barn surrounded by blooming sunflower field,26,71.29792785644531
1,{} barn surrounded by blooming sunflower field,27,74.3271484375
1,{} barn surrounded by blooming sunflower field,28,74.4007797241211
1,{} barn surrounded by blooming sunflower field,29,72.27378845214844
1,{} barn surrounded by blooming sunflower field,30,75.48279571533203
1,{} barn surrounded by blooming sunflower field,31,71.22916412353516
1,{} barn surrounded by blooming sunflower field,32,78.8017578125
1,{} barn surrounded by blooming sunflower field,33,76.63340759277344
1,{} barn surrounded by blooming sunflower field,34,72.09312438964844
1,{} barn surrounded by blooming sunflower field,35,55.46295166015625
1,{} barn surrounded by blooming sunflower field,36,71.91730499267578
1,{} barn surrounded by blooming sunflower field,37,69.19666290283203
1,{} barn surrounded by blooming sunflower field,38,77.1368179321289
1,{} barn surrounded by blooming sunflower field,39,74.13361358642578
1,{} barn surrounded by blooming sunflower field,40,76.5372314453125
1,{} barn surrounded by blooming sunflower field,41,67.41991424560547
1,{} barn surrounded by blooming sunflower field,42,72.71382141113281
1,{} barn surrounded by blooming sunflower field,43,70.31835174560547
1,{} barn surrounded by blooming sunflower field,44,71.16995239257812
1,{} barn surrounded by blooming sunflower field,45,75.61682891845703
1,{} barn surrounded by blooming sunflower field,46,66.32855224609375
1,{} barn surrounded by blooming sunflower field,47,72.2240219116211
1,{} barn surrounded by blooming sunflower field,48,74.61707305908203
1,{} barn surrounded by blooming sunflower field,49,72.15896606445312
2,{} barn in the fall season with leaves all around,0,65.2203140258789
2,{} barn in the fall season with leaves all around,1,66.70550537109375
2,{} barn in the fall season with leaves all around,2,80.28223419189453
2,{} barn in the fall season with leaves all around,3,67.62095642089844
2,{} barn in the fall season with leaves all around,4,71.88549041748047
2,{} barn in the fall season with leaves all around,5,78.37903594970703
2,{} barn in the fall season with leaves all around,6,80.14054107666016
2,{} barn in the fall season with leaves all around,7,75.16458892822266
2,{} barn in the fall season with leaves all around,8,72.7155532836914
2,{} barn in the fall season with leaves all around,9,75.5148696899414
2,{} barn in the fall season with leaves all around,10,74.7772216796875
2,{} barn in the fall season with leaves all around,11,72.51025390625
2,{} barn in the fall season with leaves all around,12,68.72264862060547
2,{} barn in the fall season with leaves all around,13,72.83613586425781
2,{} barn in the fall season with leaves all around,14,69.16075134277344
2,{} barn in the fall season with leaves all around,15,68.27632904052734
2,{} barn in the fall season with leaves all around,16,74.19012451171875
2,{} barn in the fall season with leaves all around,17,69.46269226074219
2,{} barn in the fall season with leaves all around,18,76.86182403564453
2,{} barn in the fall season with leaves all around,19,75.1662826538086
2,{} barn in the fall season with leaves all around,20,69.30059051513672
2,{} barn in the fall season with leaves all around,21,72.47661590576172
2,{} barn in the fall season with leaves all around,22,74.74687957763672
2,{} barn in the fall season with leaves all around,23,75.62604522705078
2,{} barn in the fall season with leaves all around,24,74.32140350341797
2,{} barn in the fall season with leaves all around,25,75.80687713623047
2,{} barn in the fall season with leaves all around,26,77.6631088256836
2,{} barn in the fall season with leaves all around,27,73.5055923461914
2,{} barn in the fall season with leaves all around,28,74.820556640625
2,{} barn in the fall season with leaves all around,29,74.62696075439453
2,{} barn in the fall season with leaves all around,30,74.73170471191406
2,{} barn in the fall season with leaves all around,31,72.06720733642578
2,{} barn in the fall season with leaves all around,32,73.39590454101562
2,{} barn in the fall season with leaves all around,33,68.8218994140625
