prompt_index,prompt,image_index,score
0,{} cat in grand canyon,0,74.94368743896484
0,{} cat in grand canyon,1,72.1563720703125
0,{} cat in grand canyon,2,74.00371551513672
0,{} cat in grand canyon,3,71.68365478515625
0,{} cat in grand canyon,4,76.37848663330078
0,{} cat in grand canyon,5,81.14134216308594
0,{} cat in grand canyon,6,71.34994506835938
0,{} cat in grand canyon,7,75.3655776977539
0,{} cat in grand canyon,8,73.80875396728516
0,{} cat in grand canyon,9,74.42599487304688
0,{} cat in grand canyon,10,76.13750457763672
0,{} cat in grand canyon,11,71.50169372558594
0,{} cat in grand canyon,12,74.87699127197266
0,{} cat in grand canyon,13,80.03903198242188
0,{} cat in grand canyon,14,74.94097900390625
0,{} cat in grand canyon,15,73.6587142944336
0,{} cat in grand canyon,16,73.53837585449219
0,{} cat in grand canyon,17,75.33211517333984
0,{} cat in grand canyon,18,78.33891296386719
0,{} cat in grand canyon,19,76.77406311035156
0,{} cat in grand canyon,20,76.67229461669922
0,{} cat in grand canyon,21,71.79415130615234
0,{} cat in grand canyon,22,69.3966064453125
0,{} cat in grand canyon,23,78.87149047851562
0,{} cat in grand canyon,24,74.27471923828125
0,{} cat in grand canyon,25,81.0254898071289
0,{} cat in grand canyon,26,70.24678802490234
0,{} cat in grand canyon,27,76.41343688964844
0,{} cat in grand canyon,28,71.48976135253906
0,{} cat in grand canyon,29,75.37263488769531
0,{} cat in grand canyon,30,74.15541076660156
0,{} cat in grand canyon,31,76.96882629394531
0,{} cat in grand canyon,32,69.47977447509766
0,{} cat in grand canyon,33,73.39815521240234
0,{} cat in grand canyon,34,76.04007720947266
0,{} cat in grand canyon,35,76.75518798828125
0,{} cat in grand canyon,36,80.83617401123047
0,{} cat in grand canyon,37,72.32074737548828
0,{} cat in grand canyon,38,73.67528533935547
0,{} cat in grand canyon,39,75.12471771240234
0,{} cat in grand canyon,40,74.86356353759766
0,{} cat in grand canyon,41,73.71650695800781
0,{} cat in grand canyon,42,87.98271942138672
0,{} cat in grand canyon,43,73.33468627929688
0,{} cat in grand canyon,44,73.16972351074219
0,{} cat in grand canyon,45,76.29560089111328
0,{} cat in grand canyon,46,75.89688873291016
0,{} cat in grand canyon,47,76.48686218261719
