prompt_index,prompt,image_index,score
0, a cat,0,19.727006912231445
0, a cat,1,19.091962814331055
0, a cat,2,20.481475830078125
0, a cat,3,19.372982025146484
0, a cat,4,20.4062557220459
0, a cat,5,21.310516357421875
0, a cat,6,19.411991119384766
0, a cat,7,21.123926162719727
0, a cat,8,19.959793090820312
0, a cat,9,21.033838272094727
0, a cat,10,18.944286346435547
0, a cat,11,19.871530532836914
0, a cat,12,21.405607223510742
0, a cat,13,21.67592430114746
0, a cat,14,18.6606502532959
0, a cat,15,20.656322479248047
0, a cat,16,20.012306213378906
0, a cat,17,20.124563217163086
0, a cat,18,19.475027084350586
0, a cat,19,21.62250328063965
0, a cat,20,19.979808807373047
0, a cat,21,20.153348922729492
0, a cat,22,18.86819076538086
0, a cat,23,20.393295288085938
0, a cat,24,19.121545791625977
0, a cat,25,20.858983993530273
0, a cat,26,20.400598526000977
0, a cat,27,20.060453414916992
0, a cat,28,19.280933380126953
0, a cat,29,20.283512115478516
0, a cat,30,19.523143768310547
0, a cat,31,19.53207778930664
0, a cat,32,18.39350700378418
0, a cat,33,19.73369026184082
0, a cat,34,21.301769256591797
0, a cat,35,21.433500289916992
0, a cat,36,20.931215286254883
0, a cat,37,19.774246215820312
0, a cat,38,20.17125701904297
0, a cat,39,20.777490615844727
0, a cat,40,20.867229461669922
0, a cat,41,19.394264221191406
0, a cat,42,23.503772735595703
0, a cat,43,20.250303268432617
0, a cat,44,21.274869918823242
0, a cat,45,20.717174530029297
0, a cat,46,20.461833953857422
0, a cat,47,21.56732177734375
0, a cat,48,21.20850944519043
0, a cat,49,20.870695114135742
1, a cat,0,23.188568115234375
1, a cat,1,23.973283767700195
1, a cat,2,22.218332290649414
1, a cat,3,22.356813430786133
1, a cat,4,22.493255615234375
1, a cat,5,22.082788467407227
1, a cat,6,24.32915496826172
1, a cat,7,22.8449649810791
1, a cat,8,20.380950927734375
1, a cat,9,24.523744583129883
1, a cat,10,21.98303985595703
1, a cat,11,22.224143981933594
1, a cat,12,22.342859268188477
1, a cat,13,22.992334365844727
1, a cat,14,23.73313331604004
1, a cat,15,22.221023559570312
1, a cat,16,23.451736450195312
1, a cat,17,23.79804229736328
1, a cat,18,21.665864944458008
1, a cat,19,24.147567749023438
1, a cat,20,22.27950096130371
1, a cat,21,21.38831901550293
1, a cat,22,23.237329483032227
1, a cat,23,21.634124755859375
1, a cat,24,23.314510345458984
1, a cat,25,20.510704040527344
1, a cat,26,23.818191528320312
1, a cat,27,23.378856658935547
1, a cat,28,24.280187606811523
1, a cat,29,22.723569869995117
1, a cat,30,22.43578338623047
1, a cat,31,24.33673667907715
1, a cat,32,23.08865737915039
1, a cat,33,23.545042037963867
1, a cat,34,21.608951568603516
1, a cat,35,24.615243911743164
1, a cat,36,20.745803833007812
1, a cat,37,21.714448928833008
1, a cat,38,24.319290161132812
1, a cat,39,23.661148071289062
1, a cat,40,24.232486724853516
1, a cat,41,21.555889129638672
1, a cat,42,23.270729064941406
1, a cat,43,22.65336799621582
1, a cat,44,22.33405303955078
1, a cat,45,22.641948699951172
1, a cat,46,21.40290069580078
1, a cat,47,21.050106048583984
1, a cat,48,23.669191360473633
1, a cat,49,23.07785415649414
2, a cat,0,21.4100399017334
2, a cat,1,21.580055236816406
2, a cat,2,20.316036224365234
2, a cat,3,18.486074447631836
2, a cat,4,22.435335159301758
2, a cat,5,22.074508666992188
2, a cat,6,21.05825424194336
2, a cat,7,22.712596893310547
2, a cat,8,20.74799156188965
2, a cat,9,20.837425231933594
2, a cat,10,22.260534286499023
2, a cat,11,20.827573776245117
2, a cat,12,22.06646156311035
2, a cat,13,21.57670783996582
2, a cat,14,22.358898162841797
2, a cat,15,22.333066940307617
2, a cat,16,22.303010940551758
2, a cat,17,22.406909942626953
2, a cat,18,21.925443649291992
2, a cat,19,21.589841842651367
2, a cat,20,20.790002822875977
2, a cat,21,22.88389778137207
2, a cat,22,21.35297393798828
2, a cat,23,22.611160278320312
2, a cat,24,21.55860710144043
2, a cat,25,21.104276657104492
2, a cat,26,21.01812171936035
2, a cat,27,21.79154396057129
2, a cat,28,21.13222885131836
2, a cat,29,21.0913143157959
2, a cat,30,21.631935119628906
2, a cat,31,21.940441131591797
2, a cat,32,20.271713256835938
2, a cat,33,21.313844680786133
2, a cat,34,21.754032135009766
2, a cat,35,22.877365112304688
2, a cat,36,22.173580169677734
2, a cat,37,21.78400993347168
2, a cat,38,19.700035095214844
2, a cat,39,21.08530616760254
2, a cat,40,20.927234649658203
