prompt_index,prompt,image_index,score
0, snowy ice,0,17.1855411529541
0, snowy ice,1,21.415603637695312
0, snowy ice,2,18.74636459350586
0, snowy ice,3,19.352319717407227
0, snowy ice,4,15.271110534667969
0, snowy ice,5,18.02988624572754
0, snowy ice,6,19.30385398864746
0, snowy ice,7,17.108293533325195
0, snowy ice,8,18.38467788696289
0, snowy ice,9,20.72101593017578
0, snowy ice,10,19.343849182128906
0, snowy ice,11,15.95468521118164
0, snowy ice,12,19.44508171081543
0, snowy ice,13,17.605443954467773
0, snowy ice,14,16.946365356445312
0, snowy ice,15,17.428728103637695
0, snowy ice,16,15.968209266662598
0, snowy ice,17,17.259765625
0, snowy ice,18,17.51318359375
0, snowy ice,19,19.8709659576416
0, snowy ice,20,18.163875579833984
0, snowy ice,21,17.31329345703125
0, snowy ice,22,17.798110961914062
0, snowy ice,23,16.525196075439453
0, snowy ice,24,18.312562942504883
0, snowy ice,25,16.283782958984375
0, snowy ice,26,15.362754821777344
0, snowy ice,27,16.542804718017578
0, snowy ice,28,19.465341567993164
0, snowy ice,29,19.285974502563477
0, snowy ice,30,15.783082008361816
0, snowy ice,31,17.29476547241211
0, snowy ice,32,19.31382179260254
0, snowy ice,33,20.1628360748291
0, snowy ice,34,17.475967407226562
0, snowy ice,35,16.390769958496094
0, snowy ice,36,17.019323348999023
0, snowy ice,37,17.750484466552734
0, snowy ice,38,18.742334365844727
0, snowy ice,39,18.67491912841797
0, snowy ice,40,18.313234329223633
0, snowy ice,41,18.162763595581055
0, snowy ice,42,18.45625114440918
0, snowy ice,43,18.426313400268555
0, snowy ice,44,18.76575469970703
0, snowy ice,45,17.8528995513916
0, snowy ice,46,18.20133399963379
0, snowy ice,47,19.9119873046875
0, snowy ice,48,17.215192794799805
0, snowy ice,49,15.968017578125
1, blooming sunflower field,0,24.32788848876953
1, blooming sunflower field,1,25.00038719177246
1, blooming sunflower field,2,26.045703887939453
1, blooming sunflower field,3,28.038358688354492
1, blooming sunflower field,4,22.571945190429688
1, blooming sunflower field,5,25.659297943115234
1, blooming sunflower field,6,23.250011444091797
1, blooming sunflower field,7,26.95247459411621
1, blooming sunflower field,8,25.771352767944336
1, blooming sunflower field,9,24.38442611694336
1, blooming sunflower field,10,25.379222869873047
1, blooming sunflower field,11,23.817564010620117
1, blooming sunflower field,12,25.039594650268555
1, blooming sunflower field,13,23.477977752685547
1, blooming sunflower field,14,26.522666931152344
1, blooming sunflower field,15,21.603897094726562
1, blooming sunflower field,16,20.503128051757812
1, blooming sunflower field,17,25.834030151367188
1, blooming sunflower field,18,26.953357696533203
1, blooming sunflower field,19,23.825603485107422
1, blooming sunflower field,20,24.949485778808594
1, blooming sunflower field,21,24.16106414794922
1, blooming sunflower field,22,24.683237075805664
1, blooming sunflower field,23,25.238948822021484
1, blooming sunflower field,24,23.974607467651367
1, blooming sunflower field,25,22.054546356201172
1, blooming sunflower field,26,26.679855346679688
1, blooming sunflower field,27,23.358509063720703
1, blooming sunflower field,28,26.693201065063477
1, blooming sunflower field,29,25.95952796936035
1, blooming sunflower field,30,25.471364974975586
1, blooming sunflower field,31,24.946269989013672
1, blooming sunflower field,32,25.11685562133789
