prompt_index,prompt,image_index,score
0,{} chair in snowy ice,0,76.0109634399414
0,{} chair in snowy ice,1,65.07247924804688
0,{} chair in snowy ice,2,78.3021469116211
0,{} chair in snowy ice,3,67.90290832519531
0,{} chair in snowy ice,4,77.86044311523438
0,{} chair in snowy ice,5,75.0113296508789
0,{} chair in snowy ice,6,73.58109283447266
0,{} chair in snowy ice,7,65.89715576171875
0,{} chair in snowy ice,8,71.5133285522461
0,{} chair in snowy ice,9,73.42829132080078
0,{} chair in snowy ice,10,68.82487487792969
0,{} chair in snowy ice,11,73.75901794433594
0,{} chair in snowy ice,12,69.95065307617188
0,{} chair in snowy ice,13,74.87576293945312
0,{} chair in snowy ice,14,70.32896423339844
0,{} chair in snowy ice,15,61.39281463623047
0,{} chair in snowy ice,16,68.22127532958984
0,{} chair in snowy ice,17,72.02012634277344
0,{} chair in snowy ice,18,80.0474624633789
0,{} chair in snowy ice,19,67.51078033447266
0,{} chair in snowy ice,20,74.44763946533203
0,{} chair in snowy ice,21,70.90279388427734
0,{} chair in snowy ice,22,85.96845245361328
0,{} chair in snowy ice,23,68.45086669921875
0,{} chair in snowy ice,24,71.10539245605469
0,{} chair in snowy ice,25,77.32659912109375
0,{} chair in snowy ice,26,72.17996215820312
0,{} chair in snowy ice,27,75.81453704833984
0,{} chair in snowy ice,28,68.26057434082031
0,{} chair in snowy ice,29,70.23639678955078
0,{} chair in snowy ice,30,70.43403625488281
0,{} chair in snowy ice,31,71.81275177001953
0,{} chair in snowy ice,32,75.78436279296875
0,{} chair in snowy ice,33,49.19446563720703
0,{} chair in snowy ice,34,78.70838165283203
0,{} chair in snowy ice,35,63.97711181640625
0,{} chair in snowy ice,36,70.23042297363281
0,{} chair in snowy ice,37,61.790931701660156
0,{} chair in snowy ice,38,72.2896499633789
0,{} chair in snowy ice,39,61.347286224365234
0,{} chair in snowy ice,40,70.56259155273438
0,{} chair in snowy ice,41,73.42887878417969
0,{} chair in snowy ice,42,75.50650024414062
0,{} chair in snowy ice,43,71.05591583251953
0,{} chair in snowy ice,44,64.23003387451172
0,{} chair in snowy ice,45,73.4607162475586
0,{} chair in snowy ice,46,67.59385681152344
0,{} chair in snowy ice,47,70.91486358642578
0,{} chair in snowy ice,48,70.34809875488281
0,{} chair in snowy ice,49,72.79985809326172
1,{} chair surrounded by blooming sunflower field,0,72.67378234863281
1,{} chair surrounded by blooming sunflower field,1,57.093284606933594
1,{} chair surrounded by blooming sunflower field,2,70.6377182006836
1,{} chair surrounded by blooming sunflower field,3,71.08612823486328
1,{} chair surrounded by blooming sunflower field,4,56.937744140625
1,{} chair surrounded by blooming sunflower field,5,60.449134826660156
1,{} chair surrounded by blooming sunflower field,6,64.983154296875
1,{} chair surrounded by blooming sunflower field,7,72.52420043945312
1,{} chair surrounded by blooming sunflower field,8,76.51334381103516
1,{} chair surrounded by blooming sunflower field,9,77.64212036132812
1,{} chair surrounded by blooming sunflower field,10,75.42633819580078
1,{} chair surrounded by blooming sunflower field,11,66.0304946899414
