prompt_index,prompt,image_index,score
0, a dog,0,17.193193435668945
0, a dog,1,17.58192253112793
0, a dog,2,18.581867218017578
0, a dog,3,18.01961326599121
0, a dog,4,17.758544921875
0, a dog,5,17.974971771240234
0, a dog,6,17.197046279907227
0, a dog,7,17.8738956451416
0, a dog,8,17.316913604736328
0, a dog,9,17.763996124267578
0, a dog,10,16.75193977355957
0, a dog,11,10.802154541015625
0, a dog,12,17.717849731445312
0, a dog,13,17.628740310668945
0, a dog,14,18.09976577758789
0, a dog,15,17.346988677978516
0, a dog,16,18.01384735107422
0, a dog,17,18.351041793823242
0, a dog,18,16.793935775756836
0, a dog,19,17.404611587524414
0, a dog,20,16.888275146484375
0, a dog,21,17.608768463134766
0, a dog,22,16.938926696777344
0, a dog,23,18.071603775024414
0, a dog,24,15.858274459838867
0, a dog,25,18.262615203857422
0, a dog,26,16.5041561126709
0, a dog,27,17.650554656982422
0, a dog,28,17.81882095336914
0, a dog,29,16.634323120117188
0, a dog,30,17.469120025634766
0, a dog,31,16.701936721801758
0, a dog,32,17.400192260742188
0, a dog,33,17.97248077392578
0, a dog,34,15.863808631896973
0, a dog,35,16.96872329711914
0, a dog,36,17.543075561523438
0, a dog,37,17.438119888305664
0, a dog,38,17.98042106628418
0, a dog,39,17.44298553466797
0, a dog,40,17.589353561401367
0, a dog,41,17.855884552001953
0, a dog,42,17.562957763671875
0, a dog,43,17.352588653564453
0, a dog,44,17.94696807861328
0, a dog,45,17.70232391357422
0, a dog,46,16.999032974243164
0, a dog,47,17.020483016967773
0, a dog,48,17.91728973388672
0, a dog,49,16.900897979736328
1, a dog,0,19.431480407714844
1, a dog,1,20.234432220458984
1, a dog,2,19.077619552612305
1, a dog,3,18.307056427001953
1, a dog,4,18.87056541442871
1, a dog,5,12.447125434875488
1, a dog,6,20.649253845214844
1, a dog,7,20.455129623413086
1, a dog,8,19.47576141357422
1, a dog,9,20.293495178222656
1, a dog,10,17.706512451171875
1, a dog,11,18.679527282714844
1, a dog,12,20.40130043029785
1, a dog,13,18.198667526245117
1, a dog,14,18.546541213989258
1, a dog,15,19.075180053710938
1, a dog,16,18.57829475402832
1, a dog,17,18.93173599243164
1, a dog,18,18.41105842590332
1, a dog,19,19.41901969909668
1, a dog,20,19.738449096679688
1, a dog,21,18.17466926574707
1, a dog,22,19.901426315307617
1, a dog,23,20.061857223510742
1, a dog,24,19.546001434326172
1, a dog,25,18.946414947509766
1, a dog,26,10.696455001831055
1, a dog,27,18.644195556640625
1, a dog,28,18.14508819580078
1, a dog,29,19.17647933959961
1, a dog,30,20.055938720703125
