prompt_index,prompt,image_index,score
0, grand canyon,0,22.30006217956543
0, grand canyon,1,20.67234230041504
0, grand canyon,2,22.723337173461914
0, grand canyon,3,22.56974220275879
0, grand canyon,4,20.72528839111328
0, grand canyon,5,19.91326904296875
0, grand canyon,6,21.994953155517578
0, grand canyon,7,22.665328979492188
0, grand canyon,8,19.599834442138672
0, grand canyon,9,19.555904388427734
0, grand canyon,10,22.08860206604004
0, grand canyon,11,22.744524002075195
0, grand canyon,12,21.6343994140625
0, grand canyon,13,22.00511932373047
0, grand canyon,14,21.435243606567383
0, grand canyon,15,21.153610229492188
0, grand canyon,16,22.34868621826172
0, grand canyon,17,22.591716766357422
0, grand canyon,18,20.637590408325195
0, grand canyon,19,21.36541748046875
0, grand canyon,20,20.88836097717285
0, grand canyon,21,22.616260528564453
0, grand canyon,22,22.45240020751953
0, grand canyon,23,21.148813247680664
0, grand canyon,24,19.644973754882812
0, grand canyon,25,21.153087615966797
0, grand canyon,26,21.900644302368164
0, grand canyon,27,20.512664794921875
0, grand canyon,28,21.54102897644043
0, grand canyon,29,21.073190689086914
0, grand canyon,30,23.03595733642578
0, grand canyon,31,21.184417724609375
0, grand canyon,32,20.559776306152344
0, grand canyon,33,21.720672607421875
0, grand canyon,34,19.705291748046875
0, grand canyon,35,21.086057662963867
0, grand canyon,36,22.401063919067383
0, grand canyon,37,21.059999465942383
0, grand canyon,38,22.34934425354004
0, grand canyon,39,21.98735237121582
0, grand canyon,40,22.242341995239258
0, grand canyon,41,22.536540985107422
0, grand canyon,42,21.28002166748047
0, grand canyon,43,20.56366729736328
0, grand canyon,44,22.089811325073242
0, grand canyon,45,22.3751277923584
0, grand canyon,46,21.599878311157227
0, grand canyon,47,22.487014770507812
0, grand canyon,48,19.87702178955078
0, grand canyon,49,20.898618698120117
1, beach with a view of the sea,0,20.035398483276367
1, beach with a view of the sea,1,20.716346740722656
1, beach with a view of the sea,2,21.931318283081055
1, beach with a view of the sea,3,19.059858322143555
1, beach with a view of the sea,4,21.559886932373047
1, beach with a view of the sea,5,22.873136520385742
1, beach with a view of the sea,6,21.33502960205078
1, beach with a view of the sea,7,20.36359977722168
1, beach with a view of the sea,8,21.317983627319336
1, beach with a view of the sea,9,21.044231414794922
1, beach with a view of the sea,10,20.353771209716797
1, beach with a view of the sea,11,19.904285430908203
1, beach with a view of the sea,12,23.31683921813965
1, beach with a view of the sea,13,21.19740867614746
1, beach with a view of the sea,14,21.754653930664062
1, beach with a view of the sea,15,21.518875122070312
1, beach with a view of the sea,16,19.94514274597168
1, beach with a view of the sea,17,21.603065490722656
1, beach with a view of the sea,18,19.95872688293457
1, beach with a view of the sea,19,22.95305633544922
1, beach with a view of the sea,20,21.068017959594727
1, beach with a view of the sea,21,20.429157257080078
1, beach with a view of the sea,22,19.941797256469727
1, beach with a view of the sea,23,24.669147491455078
1, beach with a view of the sea,24,21.576332092285156
1, beach with a view of the sea,25,20.634624481201172
1, beach with a view of the sea,26,22.49080467224121
1, beach with a view of the sea,27,19.975515365600586
1, beach with a view of the sea,28,18.8218994140625
1, beach with a view of the sea,29,19.850460052490234
1, beach with a view of the sea,30,21.924161911010742
1, beach with a view of the sea,31,20.706684112548828
1, beach with a view of the sea,32,17.508682250976562
1, beach with a view of the sea,33,18.967050552368164
1, beach with a view of the sea,34,21.67535972595215
1, beach with a view of the sea,35,22.902259826660156
1, beach with a view of the sea,36,20.681690216064453
1, beach with a view of the sea,37,19.911924362182617
1, beach with a view of the sea,38,22.50596809387207
1, beach with a view of the sea,39,19.64802360534668
1, beach with a view of the sea,40,18.564598083496094
1, beach with a view of the sea,41,22.20822525024414
1, beach with a view of the sea,42,19.40391731262207
1, beach with a view of the sea,43,22.253204345703125
1, beach with a view of the sea,44,19.832639694213867
1, beach with a view of the sea,45,20.06300926208496
1, beach with a view of the sea,46,21.826519012451172
1, beach with a view of the sea,47,21.490901947021484
1, beach with a view of the sea,48,19.28337287902832
1, beach with a view of the sea,49,22.852563858032227
2, times square,0,23.014488220214844
2, times square,1,22.99542236328125
2, times square,2,19.878950119018555
2, times square,3,23.3815975189209
2, times square,4,20.6184024810791
2, times square,5,20.327991485595703
2, times square,6,20.019899368286133
2, times square,7,20.46759796142578
2, times square,8,22.508533477783203
2, times square,9,19.502756118774414
2, times square,10,22.647079467773438
2, times square,11,20.068716049194336
2, times square,12,21.005353927612305
2, times square,13,19.886524200439453
2, times square,14,20.020931243896484
2, times square,15,20.674571990966797
2, times square,16,20.57795524597168
2, times square,17,20.481685638427734
2, times square,18,19.53671646118164
2, times square,19,22.3204345703125
2, times square,20,20.097381591796875
2, times square,21,18.819515228271484
2, times square,22,21.75261878967285
2, times square,23,23.434511184692383
2, times square,24,19.645305633544922
2, times square,25,20.01067543029785
2, times square,26,20.748126983642578
2, times square,27,20.304481506347656
2, times square,28,21.317859649658203
2, times square,29,20.661699295043945
2, times square,30,20.036802291870117
2, times square,31,20.3515567779541
2, times square,32,20.0918025970459
2, times square,33,20.590251922607422
2, times square,34,23.852458953857422
2, times square,35,20.64073944091797
2, times square,36,20.744741439819336
2, times square,37,20.857370376586914
2, times square,38,20.845008850097656
2, times square,39,21.121498107910156
2, times square,40,22.8704891204834
2, times square,41,21.07206916809082
2, times square,42,21.117216110229492
2, times square,43,22.637651443481445
2, times square,44,19.89607810974121
2, times square,45,20.541950225830078
2, times square,46,20.72726821899414
2, times square,47,20.03306770324707
2, times square,48,20.252004623413086
2, times square,49,23.01534080505371
3, wearing sunglasses,0,20.547082901000977
3, wearing sunglasses,1,22.2782039642334
3, wearing sunglasses,2,22.15859603881836
3, wearing sunglasses,3,21.96161460876465
3, wearing sunglasses,4,23.097291946411133
3, wearing sunglasses,5,22.041589736938477
3, wearing sunglasses,6,23.164308547973633
3, wearing sunglasses,7,22.718168258666992
3, wearing sunglasses,8,22.03429412841797
3, wearing sunglasses,9,22.389280319213867
3, wearing sunglasses,10,21.75786590576172
3, wearing sunglasses,11,19.91117286682129
3, wearing sunglasses,12,22.395408630371094
3, wearing sunglasses,13,23.774887084960938
3, wearing sunglasses,14,22.16506576538086
3, wearing sunglasses,15,21.84344482421875
3, wearing sunglasses,16,23.90607261657715
3, wearing sunglasses,17,21.476144790649414
3, wearing sunglasses,18,20.441617965698242
3, wearing sunglasses,19,20.11893653869629
3, wearing sunglasses,20,23.556089401245117
3, wearing sunglasses,21,20.770263671875
3, wearing sunglasses,22,19.605640411376953
3, wearing sunglasses,23,21.001218795776367
3, wearing sunglasses,24,21.846689224243164
3, wearing sunglasses,25,22.344327926635742
3, wearing sunglasses,26,22.975257873535156
3, wearing sunglasses,27,21.23790740966797
3, wearing sunglasses,28,23.517135620117188
3, wearing sunglasses,29,21.2861385345459
