prompt_index,prompt,image_index,score
0,{} wooden pot in grand canyon,0,32.89670181274414
0,{} wooden pot in grand canyon,1,32.28449249267578
0,{} wooden pot in grand canyon,2,36.212833404541016
0,{} wooden pot in grand canyon,3,32.689720153808594
0,{} wooden pot in grand canyon,4,36.84779357910156
0,{} wooden pot in grand canyon,5,36.3510856628418
0,{} wooden pot in grand canyon,6,33.38871383666992
0,{} wooden pot in grand canyon,7,36.110572814941406
0,{} wooden pot in grand canyon,8,35.0435676574707
0,{} wooden pot in grand canyon,9,33.67939758300781
0,{} wooden pot in grand canyon,10,34.37937545776367
0,{} wooden pot in grand canyon,11,31.558740615844727
0,{} wooden pot in grand canyon,12,33.94184875488281
0,{} wooden pot in grand canyon,13,34.02119445800781
0,{} wooden pot in grand canyon,14,34.128570556640625
0,{} wooden pot in grand canyon,15,36.249691009521484
0,{} wooden pot in grand canyon,16,34.35360336303711
0,{} wooden pot in grand canyon,17,34.84514236450195
0,{} wooden pot in grand canyon,18,34.17045593261719
0,{} wooden pot in grand canyon,19,33.32940673828125
0,{} wooden pot in grand canyon,20,32.973392486572266
0,{} wooden pot in grand canyon,21,33.471561431884766
0,{} wooden pot in grand canyon,22,33.924251556396484
0,{} wooden pot in grand canyon,23,32.30250930786133
0,{} wooden pot in grand canyon,24,33.42051696777344
0,{} wooden pot in grand canyon,25,35.48568344116211
0,{} wooden pot in grand canyon,26,33.127384185791016
0,{} wooden pot in grand canyon,27,35.79033660888672
0,{} wooden pot in grand canyon,28,34.436161041259766
0,{} wooden pot in grand canyon,29,35.64335250854492
0,{} wooden pot in grand canyon,30,32.27865219116211
0,{} wooden pot in grand canyon,31,34.650272369384766
0,{} wooden pot in grand canyon,32,33.676963806152344
0,{} wooden pot in grand canyon,33,32.58578872680664
0,{} wooden pot in grand canyon,34,33.85359191894531
0,{} wooden pot in grand canyon,35,34.61692428588867
0,{} wooden pot in grand canyon,36,35.85600280761719
0,{} wooden pot in grand canyon,37,33.14299392700195
0,{} wooden pot in grand canyon,38,34.64118194580078
0,{} wooden pot in grand canyon,39,36.2965087890625
0,{} wooden pot in grand canyon,40,33.071434020996094
0,{} wooden pot in grand canyon,41,32.73612976074219
0,{} wooden pot in grand canyon,42,34.155242919921875
0,{} wooden pot in grand canyon,43,34.79331970214844
0,{} wooden pot in grand canyon,44,33.83160400390625
0,{} wooden pot in grand canyon,45,35.59926223754883
0,{} wooden pot in grand canyon,46,33.42860794067383
0,{} wooden pot in grand canyon,47,37.176055908203125
0,{} wooden pot in grand canyon,48,28.51961326599121
0,{} wooden pot in grand canyon,49,34.24556350708008
1,{} wooden pot with mountains and sunset in the background,0,29.356407165527344
1,{} wooden pot with mountains and sunset in the background,1,32.856529235839844
1,{} wooden pot with mountains and sunset in the background,2,31.737995147705078
1,{} wooden pot with mountains and sunset in the background,3,31.942752838134766
1,{} wooden pot with mountains and sunset in the background,4,31.340328216552734
1,{} wooden pot with mountains and sunset in the background,5,40.19622039794922
1,{} wooden pot with mountains and sunset in the background,6,32.07399368286133
1,{} wooden pot with mountains and sunset in the background,7,33.690887451171875
1,{} wooden pot with mountains and sunset in the background,8,32.32957077026367
1,{} wooden pot with mountains and sunset in the background,9,33.179420471191406
1,{} wooden pot with mountains and sunset in the background,10,31.86248016357422
1,{} wooden pot with mountains and sunset in the background,11,29.53215217590332
1,{} wooden pot with mountains and sunset in the background,12,35.84629440307617
1,{} wooden pot with mountains and sunset in the background,13,31.626113891601562
1,{} wooden pot with mountains and sunset in the background,14,26.97371482849121
1,{} wooden pot with mountains and sunset in the background,15,26.45699691772461
1,{} wooden pot with mountains and sunset in the background,16,31.335622787475586
1,{} wooden pot with mountains and sunset in the background,17,34.98405075073242
1,{} wooden pot with mountains and sunset in the background,18,32.437652587890625
1,{} wooden pot with mountains and sunset in the background,19,33.021820068359375
1,{} wooden pot with mountains and sunset in the background,20,31.939712524414062
1,{} wooden pot with mountains and sunset in the background,21,30.778127670288086
1,{} wooden pot with mountains and sunset in the background,22,32.26316452026367
1,{} wooden pot with mountains and sunset in the background,23,33.59773635864258
1,{} wooden pot with mountains and sunset in the background,24,33.53619384765625
1,{} wooden pot with mountains and sunset in the background,25,36.412864685058594
1,{} wooden pot with mountains and sunset in the background,26,31.341886520385742
1,{} wooden pot with mountains and sunset in the background,27,33.23299789428711
1,{} wooden pot with mountains and sunset in the background,28,31.351116180419922
1,{} wooden pot with mountains and sunset in the background,29,32.97057342529297
1,{} wooden pot with mountains and sunset in the background,30,31.405317306518555
1,{} wooden pot with mountains and sunset in the background,31,33.656986236572266
1,{} wooden pot with mountains and sunset in the background,32,36.201690673828125
1,{} wooden pot with mountains and sunset in the background,33,30.717954635620117
1,{} wooden pot with mountains and sunset in the background,34,31.68148422241211
1,{} wooden pot with mountains and sunset in the background,35,30.167478561401367
1,{} wooden pot with mountains and sunset in the background,36,30.8227596282959
1,{} wooden pot with mountains and sunset in the background,37,32.73667526245117
1,{} wooden pot with mountains and sunset in the background,38,30.90452003479004
1,{} wooden pot with mountains and sunset in the background,39,34.4005012512207
1,{} wooden pot with mountains and sunset in the background,40,33.05229568481445
1,{} wooden pot with mountains and sunset in the background,41,30.642717361450195
1,{} wooden pot with mountains and sunset in the background,42,31.13948631286621
1,{} wooden pot with mountains and sunset in the background,43,31.159151077270508
1,{} wooden pot with mountains and sunset in the background,44,35.07012176513672
1,{} wooden pot with mountains and sunset in the background,45,29.946943283081055
1,{} wooden pot with mountains and sunset in the background,46,32.18124771118164
1,{} wooden pot with mountains and sunset in the background,47,30.32931900024414
1,{} wooden pot with mountains and sunset in the background,48,29.015758514404297
1,{} wooden pot with mountains and sunset in the background,49,32.418174743652344
