prompt_index,prompt,image_index,score
0, a wooden pot,0,23.89794921875
0, a wooden pot,1,20.591094970703125
0, a wooden pot,2,25.434541702270508
0, a wooden pot,3,22.00062370300293
0, a wooden pot,4,25.763050079345703
0, a wooden pot,5,27.088397979736328
0, a wooden pot,6,21.29807472229004
0, a wooden pot,7,25.273197174072266
0, a wooden pot,8,25.166362762451172
0, a wooden pot,9,24.382856369018555
0, a wooden pot,10,23.07925033569336
0, a wooden pot,11,21.004383087158203
0, a wooden pot,12,23.487722396850586
0, a wooden pot,13,23.30560302734375
0, a wooden pot,14,22.912654876708984
0, a wooden pot,15,25.2984619140625
0, a wooden pot,16,23.641286849975586
0, a wooden pot,17,24.250015258789062
0, a wooden pot,18,23.127609252929688
0, a wooden pot,19,23.047096252441406
0, a wooden pot,20,22.535879135131836
0, a wooden pot,21,22.188264846801758
0, a wooden pot,22,23.581132888793945
0, a wooden pot,23,21.30341911315918
0, a wooden pot,24,22.375581741333008
0, a wooden pot,25,23.053909301757812
0, a wooden pot,26,21.19491958618164
0, a wooden pot,27,24.627538681030273
0, a wooden pot,28,24.261728286743164
0, a wooden pot,29,23.8148250579834
0, a wooden pot,30,21.463382720947266
0, a wooden pot,31,23.346576690673828
0, a wooden pot,32,22.778724670410156
0, a wooden pot,33,23.102096557617188
0, a wooden pot,34,23.28692054748535
0, a wooden pot,35,25.292428970336914
0, a wooden pot,36,25.497802734375
0, a wooden pot,37,22.62822914123535
0, a wooden pot,38,24.734601974487305
0, a wooden pot,39,25.124597549438477
0, a wooden pot,40,23.86334800720215
0, a wooden pot,41,24.60686492919922
0, a wooden pot,42,24.900121688842773
0, a wooden pot,43,25.013919830322266
0, a wooden pot,44,22.49638557434082
0, a wooden pot,45,24.462919235229492
0, a wooden pot,46,22.10576057434082
0, a wooden pot,47,24.99282455444336
0, a wooden pot,48,23.170425415039062
0, a wooden pot,49,23.241575241088867
1, a wooden pot,0,23.34805679321289
1, a wooden pot,1,23.888172149658203
1, a wooden pot,2,23.905014038085938
1, a wooden pot,3,21.392192840576172
1, a wooden pot,4,22.767192840576172
1, a wooden pot,5,26.600624084472656
1, a wooden pot,6,24.28329086303711
1, a wooden pot,7,24.53235626220703
1, a wooden pot,8,25.838815689086914
1, a wooden pot,9,27.065086364746094
1, a wooden pot,10,23.078630447387695
1, a wooden pot,11,20.885042190551758
1, a wooden pot,12,27.987337112426758
1, a wooden pot,13,22.87472152709961
1, a wooden pot,14,28.093061447143555
1, a wooden pot,15,27.738496780395508
1, a wooden pot,16,24.701007843017578
1, a wooden pot,17,25.047910690307617
1, a wooden pot,18,24.17979621887207
1, a wooden pot,19,26.34159278869629
1, a wooden pot,20,24.521160125732422
1, a wooden pot,21,23.296222686767578
1, a wooden pot,22,26.744138717651367
1, a wooden pot,23,23.901172637939453
1, a wooden pot,24,23.758132934570312
1, a wooden pot,25,24.7376651763916
1, a wooden pot,26,27.38090705871582
1, a wooden pot,27,25.213314056396484
1, a wooden pot,28,25.464380264282227
1, a wooden pot,29,23.368581771850586
1, a wooden pot,30,21.7187442779541
1, a wooden pot,31,23.91885757446289
1, a wooden pot,32,26.03527069091797
1, a wooden pot,33,23.267852783203125
1, a wooden pot,34,23.450824737548828
1, a wooden pot,35,21.272157669067383
1, a wooden pot,36,20.624500274658203
1, a wooden pot,37,22.368854522705078
1, a wooden pot,38,24.354652404785156
1, a wooden pot,39,26.037242889404297
1, a wooden pot,40,24.24551010131836
1, a wooden pot,41,22.748531341552734
1, a wooden pot,42,25.273395538330078
1, a wooden pot,43,21.495643615722656
1, a wooden pot,44,24.645204544067383
1, a wooden pot,45,20.932209014892578
1, a wooden pot,46,24.680736541748047
1, a wooden pot,47,24.49694061279297
1, a wooden pot,48,21.48206329345703
1, a wooden pot,49,24.92958641052246
2, a wooden pot,0,27.200456619262695
2, a wooden pot,1,24.750991821289062
2, a wooden pot,2,24.860733032226562
2, a wooden pot,3,19.078067779541016
2, a wooden pot,4,26.64799690246582
2, a wooden pot,5,23.249160766601562
2, a wooden pot,6,21.400043487548828
2, a wooden pot,7,24.10315704345703
2, a wooden pot,8,21.672996520996094
2, a wooden pot,9,24.37673568725586
2, a wooden pot,10,23.230037689208984
2, a wooden pot,11,20.198219299316406
2, a wooden pot,12,24.15085220336914
2, a wooden pot,13,26.690584182739258
2, a wooden pot,14,26.264902114868164
2, a wooden pot,15,21.49242401123047
2, a wooden pot,16,22.95562171936035
2, a wooden pot,17,27.022624969482422
2, a wooden pot,18,23.561830520629883
2, a wooden pot,19,22.573644638061523
2, a wooden pot,20,23.318708419799805
2, a wooden pot,21,27.665084838867188
2, a wooden pot,22,27.431446075439453
2, a wooden pot,23,21.959110260009766
2, a wooden pot,24,25.01841163635254
2, a wooden pot,25,22.795448303222656
2, a wooden pot,26,25.121164321899414
2, a wooden pot,27,19.22815704345703
2, a wooden pot,28,26.706045150756836
2, a wooden pot,29,24.21100425720215
2, a wooden pot,30,23.41893196105957
2, a wooden pot,31,20.71530532836914
2, a wooden pot,32,26.641002655029297
2, a wooden pot,33,20.792814254760742
2, a wooden pot,34,23.581012725830078
2, a wooden pot,35,25.03740692138672
2, a wooden pot,36,26.651010513305664
2, a wooden pot,37,23.386171340942383
2, a wooden pot,38,24.921781539916992
2, a wooden pot,39,23.762420654296875
2, a wooden pot,40,20.25546646118164
2, a wooden pot,41,21.202537536621094
2, a wooden pot,42,22.567079544067383
2, a wooden pot,43,23.063974380493164
2, a wooden pot,44,22.30055809020996
2, a wooden pot,45,14.595061302185059
2, a wooden pot,46,22.55868911743164
2, a wooden pot,47,20.333538055419922
2, a wooden pot,48,23.92621421813965
2, a wooden pot,49,25.37323570251465
3, a wooden pot,0,21.46684455871582
3, a wooden pot,1,20.503957748413086
3, a wooden pot,2,9.343673706054688
3, a wooden pot,3,21.667654037475586
3, a wooden pot,4,20.48882293701172
3, a wooden pot,5,19.634763717651367
3, a wooden pot,6,8.60936164855957
3, a wooden pot,7,19.74710464477539
3, a wooden pot,8,15.456539154052734
3, a wooden pot,9,23.725996017456055
3, a wooden pot,10,18.143796920776367
3, a wooden pot,11,19.148845672607422
3, a wooden pot,12,20.51472282409668
3, a wooden pot,13,8.358919143676758
3, a wooden pot,14,22.44667625427246
3, a wooden pot,15,19.52997398376465
3, a wooden pot,16,17.38534927368164
3, a wooden pot,17,19.202392578125
3, a wooden pot,18,20.66742706298828
3, a wooden pot,19,21.160717010498047
3, a wooden pot,20,8.349604606628418
3, a wooden pot,21,9.368722915649414
3, a wooden pot,22,17.129697799682617
3, a wooden pot,23,19.635089874267578
3, a wooden pot,24,21.57040786743164
3, a wooden pot,25,18.669944763183594
3, a wooden pot,26,23.796934127807617
3, a wooden pot,27,19.698625564575195
3, a wooden pot,28,21.317001342773438
3, a wooden pot,29,22.102149963378906
3, a wooden pot,30,19.66999053955078
3, a wooden pot,31,19.27572250366211
3, a wooden pot,32,21.981277465820312
3, a wooden pot,33,18.971881866455078
3, a wooden pot,34,17.974939346313477
3, a wooden pot,35,18.11334228515625
3, a wooden pot,36,20.03025245666504
3, a wooden pot,37,18.17623519897461
3, a wooden pot,38,9.028657913208008
3, a wooden pot,39,19.515270233154297
3, a wooden pot,40,18.912479400634766
3, a wooden pot,41,7.815180778503418
3, a wooden pot,42,16.612205505371094
3, a wooden pot,43,21.657493591308594
3, a wooden pot,44,21.720029830932617
3, a wooden pot,45,21.84229850769043
3, a wooden pot,46,18.388622283935547
3, a wooden pot,47,20.2156982421875
3, a wooden pot,48,10.058138847351074
3, a wooden pot,49,21.801921844482422
4, a wooden pot,0,21.913494110107422
4, a wooden pot,1,18.38884735107422
4, a wooden pot,2,22.385509490966797
4, a wooden pot,3,23.221660614013672
4, a wooden pot,4,17.489322662353516
4, a wooden pot,5,19.502193450927734
4, a wooden pot,6,21.859859466552734
4, a wooden pot,7,17.37166404724121
4, a wooden pot,8,22.10729217529297
4, a wooden pot,9,17.767301559448242
4, a wooden pot,10,21.915328979492188
4, a wooden pot,11,20.60678482055664
4, a wooden pot,12,23.12249755859375
4, a wooden pot,13,19.96660614013672
4, a wooden pot,14,19.50421714782715
4, a wooden pot,15,19.662168502807617
4, a wooden pot,16,17.98035430908203
4, a wooden pot,17,26.382381439208984
