prompt_index,prompt,image_index,score
0, grand canyon,0,21.470436096191406
0, grand canyon,1,24.30616569519043
0, grand canyon,2,23.191007614135742
0, grand canyon,3,23.759355545043945
0, grand canyon,4,23.553783416748047
0, grand canyon,5,19.88968276977539
0, grand canyon,6,23.647722244262695
0, grand canyon,7,22.57775115966797
0, grand canyon,8,22.20963478088379
0, grand canyon,9,20.60246467590332
0, grand canyon,10,23.14716911315918
0, grand canyon,11,23.508146286010742
0, grand canyon,12,23.824886322021484
0, grand canyon,13,20.98356056213379
0, grand canyon,14,23.34732437133789
0, grand canyon,15,21.821189880371094
0, grand canyon,16,23.746566772460938
0, grand canyon,17,21.533164978027344
0, grand canyon,18,23.317556381225586
0, grand canyon,19,22.070167541503906
0, grand canyon,20,22.46086883544922
0, grand canyon,21,22.32069969177246
0, grand canyon,22,21.601015090942383
0, grand canyon,23,22.79459571838379
0, grand canyon,24,24.13817596435547
0, grand canyon,25,23.28323745727539
0, grand canyon,26,23.57728385925293
0, grand canyon,27,22.31827163696289
0, grand canyon,28,22.41268539428711
0, grand canyon,29,23.239025115966797
0, grand canyon,30,23.42884063720703
0, grand canyon,31,24.578798294067383
0, grand canyon,32,24.16298484802246
0, grand canyon,33,21.48609733581543
0, grand canyon,34,21.393329620361328
0, grand canyon,35,22.359119415283203
0, grand canyon,36,20.81801414489746
0, grand canyon,37,22.60529136657715
0, grand canyon,38,22.17940902709961
0, grand canyon,39,22.800386428833008
0, grand canyon,40,22.2684268951416
0, grand canyon,41,21.2396183013916
0, grand canyon,42,20.706071853637695
0, grand canyon,43,22.833759307861328
0, grand canyon,44,22.453821182250977
0, grand canyon,45,24.59325408935547
0, grand canyon,46,23.565349578857422
0, grand canyon,47,21.63280487060547
0, grand canyon,48,18.551280975341797
0, grand canyon,49,22.61417007446289
1, mountains and sunset,0,17.19675636291504
1, mountains and sunset,1,20.726242065429688
1, mountains and sunset,2,18.59999656677246
1, mountains and sunset,3,18.69709587097168
1, mountains and sunset,4,18.462116241455078
1, mountains and sunset,5,26.896894454956055
