prompt_index,prompt,image_index,score
0,{} wooden pot in grand canyon,0,61.70436096191406
0,{} wooden pot in grand canyon,1,54.409027099609375
0,{} wooden pot in grand canyon,2,57.2671012878418
0,{} wooden pot in grand canyon,3,55.84040451049805
0,{} wooden pot in grand canyon,4,56.20318603515625
0,{} wooden pot in grand canyon,5,61.23455047607422
0,{} wooden pot in grand canyon,6,56.21309280395508
0,{} wooden pot in grand canyon,7,59.17852020263672
0,{} wooden pot in grand canyon,8,57.62841796875
0,{} wooden pot in grand canyon,9,61.76560592651367
0,{} wooden pot in grand canyon,10,60.42226028442383
0,{} wooden pot in grand canyon,11,53.99839401245117
0,{} wooden pot in grand canyon,12,58.80351257324219
0,{} wooden pot in grand canyon,13,71.20889282226562
0,{} wooden pot in grand canyon,14,58.103275299072266
0,{} wooden pot in grand canyon,15,61.191314697265625
0,{} wooden pot in grand canyon,16,59.39729690551758
0,{} wooden pot in grand canyon,17,64.41197204589844
0,{} wooden pot in grand canyon,18,56.96800231933594
0,{} wooden pot in grand canyon,19,64.62666320800781
0,{} wooden pot in grand canyon,20,59.998565673828125
0,{} wooden pot in grand canyon,21,56.24295425415039
0,{} wooden pot in grand canyon,22,58.36441421508789
0,{} wooden pot in grand canyon,23,55.331146240234375
0,{} wooden pot in grand canyon,24,56.73341751098633
0,{} wooden pot in grand canyon,25,55.660484313964844
0,{} wooden pot in grand canyon,26,55.51384735107422
0,{} wooden pot in grand canyon,27,60.41820526123047
0,{} wooden pot in grand canyon,28,57.41392517089844
0,{} wooden pot in grand canyon,29,57.223175048828125
0,{} wooden pot in grand canyon,30,57.80039978027344
0,{} wooden pot in grand canyon,31,56.13555145263672
0,{} wooden pot in grand canyon,32,57.796348571777344
0,{} wooden pot in grand canyon,33,61.34918975830078
0,{} wooden pot in grand canyon,34,69.21981811523438
0,{} wooden pot in grand canyon,35,60.55778121948242
0,{} wooden pot in grand canyon,36,61.97220230102539
0,{} wooden pot in grand canyon,37,59.1033821105957
0,{} wooden pot in grand canyon,38,56.906593322753906
0,{} wooden pot in grand canyon,39,57.51322555541992
0,{} wooden pot in grand canyon,40,57.95923614501953
0,{} wooden pot in grand canyon,41,60.46261215209961
0,{} wooden pot in grand canyon,42,64.12126159667969
0,{} wooden pot in grand canyon,43,61.69167709350586
0,{} wooden pot in grand canyon,44,61.17048263549805
0,{} wooden pot in grand canyon,45,59.76532745361328
0,{} wooden pot in grand canyon,46,56.30410385131836
