prompt_index,prompt,image_index,score
0, a table,0,20.662330627441406
0, a table,1,19.937692642211914
0, a table,2,21.047353744506836
0, a table,3,21.40238380432129
0, a table,4,23.156877517700195
0, a table,5,21.760618209838867
0, a table,6,15.140189170837402
0, a table,7,21.23459815979004
0, a table,8,21.419713973999023
0, a table,9,22.100095748901367
0, a table,10,20.668643951416016
0, a table,11,20.46162986755371
0, a table,12,23.156286239624023
0, a table,13,20.698572158813477
0, a table,14,20.453041076660156
0, a table,15,18.356815338134766
0, a table,16,23.150793075561523
0, a table,17,24.088825225830078
0, a table,18,21.452014923095703
0, a table,19,22.58411407470703
0, a table,20,22.958343505859375
0, a table,21,20.273929595947266
0, a table,22,17.075828552246094
0, a table,23,18.734333038330078
0, a table,24,22.172250747680664
0, a table,25,22.119626998901367
0, a table,26,21.713172912597656
0, a table,27,22.073667526245117
0, a table,28,20.1298770904541
0, a table,29,21.941837310791016
0, a table,30,20.719131469726562
0, a table,31,22.799501419067383
0, a table,32,21.72228240966797
0, a table,33,22.007356643676758
0, a table,34,22.496936798095703
0, a table,35,21.72281837463379
0, a table,36,22.630224227905273
0, a table,37,18.627355575561523
0, a table,38,19.102903366088867
0, a table,39,22.40169906616211
0, a table,40,23.849660873413086
0, a table,41,24.305124282836914
0, a table,42,22.74289894104004
0, a table,43,21.590909957885742
0, a table,44,21.785593032836914
0, a table,45,21.90631103515625
0, a table,46,20.64895248413086
0, a table,47,17.99410629272461
0, a table,48,20.482120513916016
0, a table,49,22.312788009643555
1, a table,0,11.948190689086914
1, a table,1,15.558470726013184
1, a table,2,14.760552406311035
1, a table,3,15.094952583312988
1, a table,4,16.89649772644043
1, a table,5,13.459312438964844
1, a table,6,15.080574035644531
1, a table,7,14.437728881835938
1, a table,8,14.491737365722656
1, a table,9,14.107161521911621
1, a table,10,15.746821403503418
1, a table,11,16.05744743347168
1, a table,12,13.540373802185059
1, a table,13,14.208995819091797
1, a table,14,13.664274215698242
1, a table,15,16.998823165893555
1, a table,16,15.408271789550781
1, a table,17,18.08092498779297
1, a table,18,17.59620475769043
1, a table,19,14.02565860748291
1, a table,20,19.041316986083984
1, a table,21,18.00715446472168
1, a table,22,14.575629234313965
1, a table,23,15.271718978881836
1, a table,24,18.99326515197754
1, a table,25,18.904348373413086
1, a table,26,14.831747055053711
1, a table,27,16.18345069885254
1, a table,28,15.063688278198242
1, a table,29,13.186004638671875
1, a table,30,17.539749145507812
1, a table,31,15.617805480957031
1, a table,32,14.76315689086914
1, a table,33,14.297382354736328
1, a table,34,13.027432441711426
1, a table,35,19.94510841369629
1, a table,36,13.232125282287598
1, a table,37,14.49609088897705
1, a table,38,11.985665321350098
1, a table,39,14.03632640838623
1, a table,40,13.17300033569336
1, a table,41,14.718132972717285
1, a table,42,18.41265296936035
1, a table,43,14.896753311157227
1, a table,44,13.809338569641113
1, a table,45,20.29936981201172
1, a table,46,14.789833068847656
1, a table,47,15.04667854309082
1, a table,48,15.059608459472656
1, a table,49,14.55693531036377
2, a table,0,16.808385848999023
2, a table,1,19.3945255279541
2, a table,2,18.065378189086914
2, a table,3,19.90652084350586
2, a table,4,15.49634075164795
2, a table,5,22.573060989379883
2, a table,6,17.47931480407715
2, a table,7,19.590116500854492
2, a table,8,20.918691635131836
2, a table,9,13.208563804626465
2, a table,10,16.09562110900879
2, a table,11,19.36971664428711
2, a table,12,17.83411979675293
2, a table,13,17.652738571166992
2, a table,14,18.792530059814453
2, a table,15,20.030263900756836
2, a table,16,19.41602897644043
2, a table,17,17.775386810302734
2, a table,18,17.05860137939453
2, a table,19,17.2749080657959
2, a table,20,18.907913208007812
2, a table,21,18.72452163696289
2, a table,22,20.92947006225586
2, a table,23,17.553442001342773
2, a table,24,20.586727142333984
2, a table,25,19.165130615234375
2, a table,26,18.637331008911133
2, a table,27,18.774280548095703
2, a table,28,17.88524627685547
2, a table,29,17.90772247314453
2, a table,30,18.755172729492188
2, a table,31,16.560354232788086
2, a table,32,19.937744140625
2, a table,33,19.960609436035156
2, a table,34,20.59202766418457
2, a table,35,18.695070266723633
2, a table,36,18.4172306060791
2, a table,37,19.040626525878906
2, a table,38,14.709220886230469
2, a table,39,18.15258026123047
2, a table,40,17.19584083557129
2, a table,41,16.178913116455078
2, a table,42,18.372867584228516
2, a table,43,20.442928314208984
2, a table,44,19.28430938720703
2, a table,45,20.60327911376953
2, a table,46,19.089096069335938
2, a table,47,19.727869033813477
2, a table,48,18.57183265686035
2, a table,49,19.38277244567871
3, a table,0,19.744661331176758
3, a table,1,17.971195220947266
3, a table,2,20.143848419189453
3, a table,3,20.682254791259766
3, a table,4,19.815462112426758
3, a table,5,17.95073699951172
3, a table,6,18.492919921875
3, a table,7,18.703975677490234
3, a table,8,20.050756454467773
3, a table,9,20.128833770751953
3, a table,10,19.972068786621094
3, a table,11,20.752849578857422
3, a table,12,19.010671615600586
3, a table,13,20.600811004638672
3, a table,14,20.636308670043945
3, a table,15,20.598251342773438
3, a table,16,23.74616241455078
3, a table,17,19.7537899017334
3, a table,18,20.784475326538086
3, a table,19,18.767574310302734
3, a table,20,19.982389450073242
3, a table,21,13.470630645751953
3, a table,22,17.056156158447266
3, a table,23,18.864835739135742
3, a table,24,17.923294067382812
3, a table,25,20.950668334960938
3, a table,26,19.56649398803711
3, a table,27,21.67140769958496
3, a table,28,18.804731369018555
3, a table,29,16.432918548583984
3, a table,30,19.681259155273438
3, a table,31,19.872507095336914
3, a table,32,14.5628662109375
3, a table,33,19.154651641845703
3, a table,34,19.80038070678711
3, a table,35,19.63007164001465
3, a table,36,21.851871490478516
3, a table,37,17.429088592529297
3, a table,38,22.45440673828125
3, a table,39,17.953500747680664
3, a table,40,18.509305953979492
3, a table,41,21.088287353515625
3, a table,42,21.29534149169922
3, a table,43,19.834636688232422
3, a table,44,19.52981185913086
3, a table,45,17.33110809326172
3, a table,46,19.320396423339844
3, a table,47,18.426605224609375
3, a table,48,20.84545135498047
3, a table,49,16.417377471923828
4, a table,0,19.101978302001953
4, a table,1,20.75774383544922
4, a table,2,21.484296798706055
4, a table,3,19.765052795410156
4, a table,4,21.030649185180664
4, a table,5,21.232194900512695
4, a table,6,22.15819549560547
4, a table,7,19.9359073638916
4, a table,8,20.686674118041992
4, a table,9,23.125104904174805
4, a table,10,20.605533599853516
4, a table,11,21.557125091552734
4, a table,12,19.913423538208008
4, a table,13,19.283607482910156
4, a table,14,21.353296279907227
4, a table,15,19.349853515625
4, a table,16,20.913118362426758
4, a table,17,19.83125114440918
4, a table,18,19.95618438720703
4, a table,19,21.254741668701172
4, a table,20,22.642627716064453
4, a table,21,20.537445068359375
4, a table,22,21.180360794067383
4, a table,23,24.098730087280273
4, a table,24,21.61326026916504
4, a table,25,22.0629940032959
4, a table,26,19.691137313842773
4, a table,27,20.260324478149414
4, a table,28,19.83487319946289
4, a table,29,23.98728370666504
4, a table,30,21.261789321899414
4, a table,31,21.001220703125
4, a table,32,23.055727005004883
4, a table,33,15.684429168701172
4, a table,34,18.161996841430664
4, a table,35,21.783035278320312
4, a table,36,20.588268280029297
4, a table,37,23.141281127929688
4, a table,38,22.822677612304688
4, a table,39,23.476980209350586
4, a table,40,18.82712173461914
4, a table,41,21.665616989135742
4, a table,42,20.375473022460938
4, a table,43,23.354333877563477
4, a table,44,20.09590721130371
4, a table,45,23.623321533203125
4, a table,46,20.82406234741211
4, a table,47,19.663055419921875
4, a table,48,17.84500503540039
4, a table,49,21.838258743286133
5, a table,0,21.12611198425293
5, a table,1,19.745708465576172
5, a table,2,21.409896850585938
5, a table,3,21.32777976989746
5, a table,4,21.838539123535156
5, a table,5,18.55706214904785
5, a table,6,18.48281478881836
5, a table,7,24.03179359436035
5, a table,8,22.268009185791016
5, a table,9,23.356765747070312
5, a table,10,20.62313461303711
5, a table,11,18.542457580566406
5, a table,12,19.082365036010742
5, a table,13,17.115415573120117
5, a table,14,19.598453521728516
5, a table,15,21.6466121673584
5, a table,16,20.90557098388672
5, a table,17,20.03729248046875
5, a table,18,19.37203025817871
5, a table,19,20.995140075683594
5, a table,20,18.92652130126953
5, a table,21,21.57023811340332
5, a table,22,19.475013732910156
5, a table,23,23.1376953125
5, a table,24,21.16819953918457
5, a table,25,19.071487426757812
5, a table,26,20.40797996520996
5, a table,27,21.7503719329834
5, a table,28,20.56686782836914
5, a table,29,18.426828384399414
5, a table,30,18.75867462158203
5, a table,31,20.119670867919922
5, a table,32,22.920591354370117
5, a table,33,21.925540924072266
5, a table,34,19.97846794128418
5, a table,35,22.504945755004883
5, a table,36,18.650405883789062
5, a table,37,19.361841201782227
5, a table,38,23.033355712890625
5, a table,39,24.521982192993164
5, a table,40,19.824005126953125
5, a table,41,20.281400680541992
5, a table,42,20.711036682128906
5, a table,43,19.860795974731445
5, a table,44,19.614118576049805
5, a table,45,21.359371185302734
5, a table,46,20.072612762451172
5, a table,47,19.952280044555664
5, a table,48,15.828893661499023
5, a table,49,21.235212326049805
6, a table,0,15.92094898223877
6, a table,1,15.9822998046875
6, a table,2,17.130779266357422
6, a table,3,19.562196731567383
6, a table,4,15.334725379943848
6, a table,5,15.421875953674316
6, a table,6,15.272252082824707
6, a table,7,17.541749954223633
6, a table,8,16.111188888549805
6, a table,9,16.90230369567871
6, a table,10,16.46067237854004
6, a table,11,15.441844940185547
6, a table,12,15.580243110656738
6, a table,13,15.066183090209961
6, a table,14,17.474430084228516
6, a table,15,17.516674041748047
6, a table,16,16.575946807861328
6, a table,17,16.845378875732422
6, a table,18,19.095373153686523
6, a table,19,16.414865493774414
6, a table,20,15.900654792785645
6, a table,21,17.6320858001709
6, a table,22,16.577926635742188
6, a table,23,17.31740951538086
6, a table,24,15.538994789123535
6, a table,25,16.91095542907715
6, a table,26,16.841209411621094
6, a table,27,16.889631271362305
6, a table,28,19.714107513427734
6, a table,29,16.602170944213867
6, a table,30,14.444668769836426
6, a table,31,16.23716163635254
6, a table,32,19.699617385864258
6, a table,33,16.063854217529297
6, a table,34,16.1287841796875
6, a table,35,14.720651626586914
6, a table,36,15.071612358093262
6, a table,37,17.69059944152832
6, a table,38,14.921241760253906
6, a table,39,16.720951080322266
6, a table,40,16.381378173828125
6, a table,41,18.14181137084961
6, a table,42,14.755332946777344
6, a table,43,16.31992530822754
6, a table,44,15.04781723022461
6, a table,45,18.233531951904297
6, a table,46,18.362321853637695
6, a table,47,15.836604118347168
6, a table,48,17.09004783630371
6, a table,49,18.46428871154785
7, a table,0,22.43802833557129
7, a table,1,21.644405364990234
7, a table,2,18.261837005615234
7, a table,3,20.514657974243164
7, a table,4,22.364517211914062
7, a table,5,21.369365692138672
7, a table,6,19.776016235351562
7, a table,7,19.237321853637695
7, a table,8,20.991029739379883
7, a table,9,18.315967559814453
7, a table,10,23.786258697509766
7, a table,11,19.13760757446289
7, a table,12,21.949111938476562
7, a table,13,23.436969757080078
7, a table,14,22.632381439208984
7, a table,15,21.6458740234375
7, a table,16,20.770750045776367
7, a table,17,19.506269454956055
7, a table,18,22.709836959838867
7, a table,19,15.337498664855957
7, a table,20,17.727676391601562
7, a table,21,17.5562686920166
7, a table,22,18.556255340576172
7, a table,23,19.78881072998047
7, a table,24,20.546409606933594
7, a table,25,22.260860443115234
7, a table,26,15.629382133483887
7, a table,27,20.895164489746094
7, a table,28,21.46527862548828
7, a table,29,21.28426742553711
7, a table,30,22.173330307006836
7, a table,31,22.45999526977539
7, a table,32,19.557783126831055
7, a table,33,19.81612205505371
7, a table,34,19.994962692260742
7, a table,35,18.099225997924805
7, a table,36,25.418081283569336
7, a table,37,22.592037200927734
7, a table,38,21.25052261352539
7, a table,39,19.713218688964844
7, a table,40,23.010562896728516
7, a table,41,17.629749298095703
7, a table,42,21.224031448364258
7, a table,43,21.039894104003906
7, a table,44,19.203418731689453
7, a table,45,20.591575622558594
7, a table,46,20.709606170654297
7, a table,47,21.223491668701172
7, a table,48,19.168548583984375
7, a table,49,20.338329315185547
8, a table,0,17.804935455322266
8, a table,1,15.61642837524414
8, a table,2,17.89466667175293
8, a table,3,17.68288230895996
8, a table,4,14.187936782836914
8, a table,5,17.268827438354492
8, a table,6,15.86648178100586
8, a table,7,18.464275360107422
8, a table,8,19.22237205505371
8, a table,9,15.806608200073242
8, a table,10,18.240144729614258
8, a table,11,19.509265899658203
8, a table,12,17.984777450561523
8, a table,13,17.9798526763916
8, a table,14,20.197284698486328
8, a table,15,16.049028396606445
8, a table,16,16.203594207763672
8, a table,17,21.73541259765625
8, a table,18,21.650775909423828
8, a table,19,19.77339744567871
8, a table,20,13.37451171875
8, a table,21,17.3437557220459
8, a table,22,13.906834602355957
8, a table,23,19.768207550048828
8, a table,24,18.660282135009766
8, a table,25,19.173479080200195
8, a table,26,20.12718391418457
8, a table,27,17.36733055114746
8, a table,28,21.15966033935547
8, a table,29,20.036592483520508
8, a table,30,16.90847396850586
8, a table,31,20.220674514770508
8, a table,32,16.981704711914062
8, a table,33,16.632516860961914
8, a table,34,14.94462776184082
8, a table,35,21.18483543395996
8, a table,36,13.958070755004883
8, a table,37,16.607467651367188
8, a table,38,18.040040969848633
8, a table,39,17.02628517150879
8, a table,40,14.01997184753418
8, a table,41,15.832545280456543
