prompt_index,prompt,image_index,score
0, a teddybear,0,19.976625442504883
0, a teddybear,1,18.748306274414062
0, a teddybear,2,19.987812042236328
0, a teddybear,3,19.646709442138672
0, a teddybear,4,20.935049057006836
0, a teddybear,5,19.604585647583008
0, a teddybear,6,19.120615005493164
0, a teddybear,7,19.708097457885742
0, a teddybear,8,19.595224380493164
0, a teddybear,9,20.852413177490234
0, a teddybear,10,18.096885681152344
0, a teddybear,11,18.301532745361328
0, a teddybear,12,20.54220962524414
0, a teddybear,13,20.32935333251953
0, a teddybear,14,20.273876190185547
0, a teddybear,15,20.304773330688477
0, a teddybear,16,21.223289489746094
0, a teddybear,17,19.003257751464844
0, a teddybear,18,20.32700538635254
0, a teddybear,19,20.36833381652832
0, a teddybear,20,20.516651153564453
0, a teddybear,21,19.181432723999023
0, a teddybear,22,20.75968360900879
0, a teddybear,23,20.52944564819336
0, a teddybear,24,20.3512020111084
0, a teddybear,25,20.115671157836914
0, a teddybear,26,19.070335388183594
0, a teddybear,27,20.043006896972656
0, a teddybear,28,19.524024963378906
0, a teddybear,29,21.43011474609375
0, a teddybear,30,18.625030517578125
0, a teddybear,31,19.96103858947754
0, a teddybear,32,18.982440948486328
0, a teddybear,33,19.57021713256836
0, a teddybear,34,19.73268699645996
0, a teddybear,35,16.495052337646484
0, a teddybear,36,20.98642349243164
0, a teddybear,37,19.844045639038086
0, a teddybear,38,20.37421226501465
0, a teddybear,39,20.22474479675293
0, a teddybear,40,19.327476501464844
0, a teddybear,41,19.120697021484375
0, a teddybear,42,20.93430519104004
0, a teddybear,43,18.409875869750977
0, a teddybear,44,19.507291793823242
0, a teddybear,45,20.356836318969727
0, a teddybear,46,19.77985191345215
0, a teddybear,47,21.205354690551758
0, a teddybear,48,16.050403594970703
0, a teddybear,49,21.68879508972168
1, a teddybear,0,21.112607955932617
1, a teddybear,1,19.58997344970703
1, a teddybear,2,20.46541976928711
1, a teddybear,3,21.136539459228516
1, a teddybear,4,20.980560302734375
1, a teddybear,5,20.32027816772461
1, a teddybear,6,20.42878532409668
1, a teddybear,7,17.743253707885742
1, a teddybear,8,21.19070816040039
1, a teddybear,9,20.729270935058594
1, a teddybear,10,20.44462013244629
1, a teddybear,11,18.251907348632812
1, a teddybear,12,20.179967880249023
1, a teddybear,13,20.999147415161133
1, a teddybear,14,19.749584197998047
1, a teddybear,15,17.733366012573242
1, a teddybear,16,19.961566925048828
1, a teddybear,17,20.911762237548828
1, a teddybear,18,21.12653350830078
1, a teddybear,19,18.62757110595703
1, a teddybear,20,20.352575302124023
1, a teddybear,21,20.20421600341797
1, a teddybear,22,20.155426025390625
1, a teddybear,23,21.940624237060547
1, a teddybear,24,21.96385955810547
1, a teddybear,25,22.06071662902832
1, a teddybear,26,21.380878448486328
1, a teddybear,27,20.231103897094727
1, a teddybear,28,20.67364501953125
1, a teddybear,29,19.734338760375977
1, a teddybear,30,18.61332130432129
1, a teddybear,31,19.309829711914062
1, a teddybear,32,20.0446834564209
1, a teddybear,33,19.391679763793945
1, a teddybear,34,19.574586868286133
1, a teddybear,35,19.514244079589844
1, a teddybear,36,20.582910537719727
1, a teddybear,37,20.282896041870117
1, a teddybear,38,19.785673141479492
1, a teddybear,39,21.169700622558594
1, a teddybear,40,20.414581298828125
1, a teddybear,41,17.55904197692871
1, a teddybear,42,18.954574584960938
1, a teddybear,43,20.224285125732422
1, a teddybear,44,20.361726760864258
1, a teddybear,45,20.76457977294922
1, a teddybear,46,20.646486282348633
1, a teddybear,47,20.077045440673828
1, a teddybear,48,19.871850967407227
1, a teddybear,49,21.69124984741211
2, a teddybear,0,22.916316986083984
2, a teddybear,1,19.598987579345703
2, a teddybear,2,21.971467971801758
2, a teddybear,3,22.330617904663086
2, a teddybear,4,20.707670211791992
2, a teddybear,5,21.770221710205078
2, a teddybear,6,23.029132843017578
2, a teddybear,7,19.432363510131836
2, a teddybear,8,20.567607879638672
2, a teddybear,9,21.37662124633789
2, a teddybear,10,21.332738876342773
2, a teddybear,11,20.05826187133789
2, a teddybear,12,20.267210006713867
2, a teddybear,13,21.60274314880371
