prompt_index,prompt,image_index,score
0,{} teddybear in grand canyon,0,73.1692886352539
0,{} teddybear in grand canyon,1,73.33078002929688
0,{} teddybear in grand canyon,2,70.34837341308594
0,{} teddybear in grand canyon,3,68.46028900146484
0,{} teddybear in grand canyon,4,77.61588287353516
0,{} teddybear in grand canyon,5,80.49984741210938
0,{} teddybear in grand canyon,6,72.90533447265625
0,{} teddybear in grand canyon,7,72.19054412841797
0,{} teddybear in grand canyon,8,70.79208374023438
0,{} teddybear in grand canyon,9,85.01541900634766
0,{} teddybear in grand canyon,10,69.06590270996094
0,{} teddybear in grand canyon,11,59.76033020019531
0,{} teddybear in grand canyon,12,79.34587860107422
0,{} teddybear in grand canyon,13,75.65675354003906
0,{} teddybear in grand canyon,14,69.21050262451172
0,{} teddybear in grand canyon,15,72.26376342773438
0,{} teddybear in grand canyon,16,78.31078338623047
0,{} teddybear in grand canyon,17,71.5571060180664
0,{} teddybear in grand canyon,18,73.0788803100586
0,{} teddybear in grand canyon,19,69.95673370361328
0,{} teddybear in grand canyon,20,76.24480438232422
0,{} teddybear in grand canyon,21,65.47100830078125
0,{} teddybear in grand canyon,22,74.15742492675781
0,{} teddybear in grand canyon,23,74.33846282958984
0,{} teddybear in grand canyon,24,74.31782531738281
0,{} teddybear in grand canyon,25,77.10269927978516
0,{} teddybear in grand canyon,26,70.95237731933594
0,{} teddybear in grand canyon,27,74.84241485595703
0,{} teddybear in grand canyon,28,73.42432403564453
0,{} teddybear in grand canyon,29,74.09778594970703
0,{} teddybear in grand canyon,30,73.04966735839844
0,{} teddybear in grand canyon,31,74.98834228515625
0,{} teddybear in grand canyon,32,71.71575927734375
0,{} teddybear in grand canyon,33,69.3484115600586
0,{} teddybear in grand canyon,34,74.84563446044922
0,{} teddybear in grand canyon,35,67.19551086425781
0,{} teddybear in grand canyon,36,76.99835205078125
0,{} teddybear in grand canyon,37,68.23262023925781
0,{} teddybear in grand canyon,38,78.18645477294922
0,{} teddybear in grand canyon,39,73.8598861694336
0,{} teddybear in grand canyon,40,71.60182189941406
0,{} teddybear in grand canyon,41,75.08192443847656
0,{} teddybear in grand canyon,42,75.65227508544922
0,{} teddybear in grand canyon,43,63.606773376464844
0,{} teddybear in grand canyon,44,76.86325073242188
0,{} teddybear in grand canyon,45,77.09262084960938
0,{} teddybear in grand canyon,46,73.38383483886719
0,{} teddybear in grand canyon,47,79.51287841796875
0,{} teddybear in grand canyon,48,67.0345687866211
0,{} teddybear in grand canyon,49,81.35468292236328
1,{} teddybear sitting at the beach with a view of the sea,0,84.15802001953125
1,{} teddybear sitting at the beach with a view of the sea,1,84.24573516845703
1,{} teddybear sitting at the beach with a view of the sea,2,76.77879333496094
1,{} teddybear sitting at the beach with a view of the sea,3,78.97572326660156
1,{} teddybear sitting at the beach with a view of the sea,4,79.07572937011719
1,{} teddybear sitting at the beach with a view of the sea,5,72.7878646850586
1,{} teddybear sitting at the beach with a view of the sea,6,79.27784729003906
1,{} teddybear sitting at the beach with a view of the sea,7,75.04930114746094
1,{} teddybear sitting at the beach with a view of the sea,8,79.2282943725586
1,{} teddybear sitting at the beach with a view of the sea,9,83.93584442138672
1,{} teddybear sitting at the beach with a view of the sea,10,80.36377716064453
1,{} teddybear sitting at the beach with a view of the sea,11,70.52092742919922
1,{} teddybear sitting at the beach with a view of the sea,12,86.01026916503906
1,{} teddybear sitting at the beach with a view of the sea,13,80.40267181396484
1,{} teddybear sitting at the beach with a view of the sea,14,80.34417724609375
1,{} teddybear sitting at the beach with a view of the sea,15,79.96747589111328
1,{} teddybear sitting at the beach with a view of the sea,16,85.31550598144531
1,{} teddybear sitting at the beach with a view of the sea,17,76.17262268066406
1,{} teddybear sitting at the beach with a view of the sea,18,82.36578369140625
1,{} teddybear sitting at the beach with a view of the sea,19,74.6353759765625
1,{} teddybear sitting at the beach with a view of the sea,20,84.91632843017578
1,{} teddybear sitting at the beach with a view of the sea,21,74.95686340332031
1,{} teddybear sitting at the beach with a view of the sea,22,84.85033416748047
1,{} teddybear sitting at the beach with a view of the sea,23,83.7548599243164
1,{} teddybear sitting at the beach with a view of the sea,24,73.1223373413086
1,{} teddybear sitting at the beach with a view of the sea,25,85.26756286621094
1,{} teddybear sitting at the beach with a view of the sea,26,85.64891052246094
1,{} teddybear sitting at the beach with a view of the sea,27,82.51466369628906
1,{} teddybear sitting at the beach with a view of the sea,28,81.19615173339844
1,{} teddybear sitting at the beach with a view of the sea,29,78.47931671142578
1,{} teddybear sitting at the beach with a view of the sea,30,74.58928680419922
1,{} teddybear sitting at the beach with a view of the sea,31,83.40483093261719
1,{} teddybear sitting at the beach with a view of the sea,32,72.59169006347656
1,{} teddybear sitting at the beach with a view of the sea,33,76.56050872802734
1,{} teddybear sitting at the beach with a view of the sea,34,79.91590881347656
1,{} teddybear sitting at the beach with a view of the sea,35,77.49304962158203
1,{} teddybear sitting at the beach with a view of the sea,36,84.10441589355469
1,{} teddybear sitting at the beach with a view of the sea,37,84.12681579589844
1,{} teddybear sitting at the beach with a view of the sea,38,85.24610137939453
1,{} teddybear sitting at the beach with a view of the sea,39,77.9785385131836
1,{} teddybear sitting at the beach with a view of the sea,40,84.0350570678711
1,{} teddybear sitting at the beach with a view of the sea,41,69.66045379638672
1,{} teddybear sitting at the beach with a view of the sea,42,71.31285858154297
1,{} teddybear sitting at the beach with a view of the sea,43,82.00029754638672
1,{} teddybear sitting at the beach with a view of the sea,44,70.86058044433594
1,{} teddybear sitting at the beach with a view of the sea,45,77.15834045410156
1,{} teddybear sitting at the beach with a view of the sea,46,86.92325592041016
1,{} teddybear sitting at the beach with a view of the sea,47,82.89095306396484
1,{} teddybear sitting at the beach with a view of the sea,48,72.19125366210938
1,{} teddybear sitting at the beach with a view of the sea,49,86.03074645996094
2,{} teddybear in times square,0,77.88544464111328
2,{} teddybear in times square,1,77.00597381591797
2,{} teddybear in times square,2,79.62319946289062
2,{} teddybear in times square,3,74.85684967041016
2,{} teddybear in times square,4,77.48104095458984
2,{} teddybear in times square,5,77.55757141113281
2,{} teddybear in times square,6,78.84031677246094
2,{} teddybear in times square,7,75.08069610595703
2,{} teddybear in times square,8,74.26917266845703
2,{} teddybear in times square,9,78.49199676513672
2,{} teddybear in times square,10,79.25154876708984
2,{} teddybear in times square,11,73.5504150390625
2,{} teddybear in times square,12,75.47024536132812
2,{} teddybear in times square,13,80.8234634399414
2,{} teddybear in times square,14,76.95075988769531
2,{} teddybear in times square,15,79.35112762451172
2,{} teddybear in times square,16,80.64216613769531
2,{} teddybear in times square,17,80.65451049804688
2,{} teddybear in times square,18,71.01234436035156
2,{} teddybear in times square,19,77.19046783447266
2,{} teddybear in times square,20,75.2824935913086
2,{} teddybear in times square,21,76.27598571777344
2,{} teddybear in times square,22,78.85116577148438
2,{} teddybear in times square,23,75.36954498291016
2,{} teddybear in times square,24,72.22197723388672
2,{} teddybear in times square,25,73.46331787109375
2,{} teddybear in times square,26,64.34646606445312
2,{} teddybear in times square,27,72.1803207397461
2,{} teddybear in times square,28,75.98625183105469
2,{} teddybear in times square,29,78.8018798828125
2,{} teddybear in times square,30,78.51113891601562
2,{} teddybear in times square,31,77.50145721435547
2,{} teddybear in times square,32,72.86541748046875
2,{} teddybear in times square,33,49.811988830566406
2,{} teddybear in times square,34,46.12517547607422
2,{} teddybear in times square,35,76.3864974975586
2,{} teddybear in times square,36,78.05128479003906
2,{} teddybear in times square,37,77.8901596069336
2,{} teddybear in times square,38,76.98321533203125
2,{} teddybear in times square,39,77.69080352783203
2,{} teddybear in times square,40,75.01246643066406
2,{} teddybear in times square,41,77.6471176147461
2,{} teddybear in times square,42,78.84566497802734
2,{} teddybear in times square,43,78.83661651611328
2,{} teddybear in times square,44,77.76180267333984
2,{} teddybear in times square,45,77.37943267822266
2,{} teddybear in times square,46,77.70509338378906
2,{} teddybear in times square,47,72.50711822509766
2,{} teddybear in times square,48,77.48062896728516
2,{} teddybear in times square,49,74.15538024902344
3,{} teddybear wearing sunglasses,0,80.5747299194336
3,{} teddybear wearing sunglasses,1,83.79727935791016
3,{} teddybear wearing sunglasses,2,74.29885864257812
3,{} teddybear wearing sunglasses,3,78.1880111694336
3,{} teddybear wearing sunglasses,4,81.15200805664062
3,{} teddybear wearing sunglasses,5,74.31539154052734
3,{} teddybear wearing sunglasses,6,79.14539337158203
3,{} teddybear wearing sunglasses,7,58.27104949951172
3,{} teddybear wearing sunglasses,8,76.98775482177734
3,{} teddybear wearing sunglasses,9,80.79244995117188
3,{} teddybear wearing sunglasses,10,77.87249755859375
3,{} teddybear wearing sunglasses,11,76.68507385253906
3,{} teddybear wearing sunglasses,12,82.28638458251953
3,{} teddybear wearing sunglasses,13,76.45591735839844
3,{} teddybear wearing sunglasses,14,68.88540649414062
3,{} teddybear wearing sunglasses,15,79.68331909179688
3,{} teddybear wearing sunglasses,16,82.13912963867188
3,{} teddybear wearing sunglasses,17,74.25910186767578
3,{} teddybear wearing sunglasses,18,80.45723724365234
3,{} teddybear wearing sunglasses,19,81.82864379882812
3,{} teddybear wearing sunglasses,20,77.47452545166016
3,{} teddybear wearing sunglasses,21,73.39079284667969
3,{} teddybear wearing sunglasses,22,77.00952911376953
3,{} teddybear wearing sunglasses,23,66.19863891601562
3,{} teddybear wearing sunglasses,24,85.56689453125
3,{} teddybear wearing sunglasses,25,82.99488830566406
3,{} teddybear wearing sunglasses,26,76.70024871826172
3,{} teddybear wearing sunglasses,27,72.42733001708984
3,{} teddybear wearing sunglasses,28,85.74935913085938
3,{} teddybear wearing sunglasses,29,86.11680603027344
3,{} teddybear wearing sunglasses,30,78.76481628417969
3,{} teddybear wearing sunglasses,31,75.78717803955078
3,{} teddybear wearing sunglasses,32,80.21803283691406
3,{} teddybear wearing sunglasses,33,75.33223724365234
3,{} teddybear wearing sunglasses,34,74.35096740722656
3,{} teddybear wearing sunglasses,35,76.02818298339844
3,{} teddybear wearing sunglasses,36,80.5035629272461
3,{} teddybear wearing sunglasses,37,81.57903289794922
3,{} teddybear wearing sunglasses,38,72.84362030029297
