prompt_index,prompt,image_index,score
0,{} teddybear in grand canyon,0,0.26176390051841736
0,{} teddybear in grand canyon,1,0.21230489015579224
0,{} teddybear in grand canyon,2,0.2945343852043152
0,{} teddybear in grand canyon,3,0.1753898561000824
0,{} teddybear in grand canyon,4,0.2024494856595993
0,{} teddybear in grand canyon,5,0.4479842782020569
0,{} teddybear in grand canyon,6,0.18981197476387024
0,{} teddybear in grand canyon,7,0.2574616074562073
0,{} teddybear in grand canyon,8,0.2692617177963257
0,{} teddybear in grand canyon,9,0.6182634830474854
0,{} teddybear in grand canyon,10,0.13317710161209106
0,{} teddybear in grand canyon,11,0.20646902918815613
0,{} teddybear in grand canyon,12,0.23819607496261597
0,{} teddybear in grand canyon,13,0.43458497524261475
0,{} teddybear in grand canyon,14,0.17493794858455658
0,{} teddybear in grand canyon,15,0.34662503004074097
0,{} teddybear in grand canyon,16,0.3027542233467102
0,{} teddybear in grand canyon,17,0.2970038950443268
0,{} teddybear in grand canyon,18,0.18047763407230377
0,{} teddybear in grand canyon,19,0.21365076303482056
0,{} teddybear in grand canyon,20,0.18231341242790222
0,{} teddybear in grand canyon,21,0.3522217869758606
0,{} teddybear in grand canyon,22,0.1961289644241333
0,{} teddybear in grand canyon,23,0.30437731742858887
0,{} teddybear in grand canyon,24,0.2798859179019928
0,{} teddybear in grand canyon,25,0.25964847207069397
0,{} teddybear in grand canyon,26,0.2113150656223297
0,{} teddybear in grand canyon,27,0.31029507517814636
0,{} teddybear in grand canyon,28,0.27319443225860596
0,{} teddybear in grand canyon,29,0.29595041275024414
0,{} teddybear in grand canyon,30,0.2205716222524643
0,{} teddybear in grand canyon,31,0.27621880173683167
0,{} teddybear in grand canyon,32,0.2374694049358368
0,{} teddybear in grand canyon,33,0.23793935775756836
0,{} teddybear in grand canyon,34,0.22745178639888763
0,{} teddybear in grand canyon,35,0.18911635875701904
0,{} teddybear in grand canyon,36,0.32340654730796814
0,{} teddybear in grand canyon,37,0.2245078682899475
0,{} teddybear in grand canyon,38,0.25101780891418457
0,{} teddybear in grand canyon,39,0.3589227795600891
0,{} teddybear in grand canyon,40,0.17614063620567322
0,{} teddybear in grand canyon,41,0.3385440409183502
0,{} teddybear in grand canyon,42,0.4017590582370758
0,{} teddybear in grand canyon,43,0.2749120593070984
0,{} teddybear in grand canyon,44,0.17513176798820496
0,{} teddybear in grand canyon,45,0.33675312995910645
0,{} teddybear in grand canyon,46,0.2863079309463501
0,{} teddybear in grand canyon,47,0.27324724197387695
0,{} teddybear in grand canyon,48,0.2581818401813507
0,{} teddybear in grand canyon,49,0.4230545461177826
1,{} teddybear sitting at the beach with a view of the sea,0,0.4951701760292053
1,{} teddybear sitting at the beach with a view of the sea,1,0.525589108467102
1,{} teddybear sitting at the beach with a view of the sea,2,0.39422011375427246
1,{} teddybear sitting at the beach with a view of the sea,3,0.5491111874580383
1,{} teddybear sitting at the beach with a view of the sea,4,0.30061814188957214
1,{} teddybear sitting at the beach with a view of the sea,5,0.38618916273117065
1,{} teddybear sitting at the beach with a view of the sea,6,0.5132105946540833
1,{} teddybear sitting at the beach with a view of the sea,7,0.4610373079776764
1,{} teddybear sitting at the beach with a view of the sea,8,0.3073313534259796
1,{} teddybear sitting at the beach with a view of the sea,9,0.43548935651779175
1,{} teddybear sitting at the beach with a view of the sea,10,0.38313740491867065
1,{} teddybear sitting at the beach with a view of the sea,11,0.5013758540153503
1,{} teddybear sitting at the beach with a view of the sea,12,0.4616595506668091
1,{} teddybear sitting at the beach with a view of the sea,13,0.39558523893356323
1,{} teddybear sitting at the beach with a view of the sea,14,0.5103781819343567
1,{} teddybear sitting at the beach with a view of the sea,15,0.507423996925354
1,{} teddybear sitting at the beach with a view of the sea,16,0.43564271926879883
1,{} teddybear sitting at the beach with a view of the sea,17,0.4950828552246094
1,{} teddybear sitting at the beach with a view of the sea,18,0.542238712310791
1,{} teddybear sitting at the beach with a view of the sea,19,0.4358717203140259
1,{} teddybear sitting at the beach with a view of the sea,20,0.3474656343460083
1,{} teddybear sitting at the beach with a view of the sea,21,0.4911338686943054
1,{} teddybear sitting at the beach with a view of the sea,22,0.5320549011230469
1,{} teddybear sitting at the beach with a view of the sea,23,0.40693509578704834
1,{} teddybear sitting at the beach with a view of the sea,24,0.4676471948623657
1,{} teddybear sitting at the beach with a view of the sea,25,0.4470304548740387
1,{} teddybear sitting at the beach with a view of the sea,26,0.5094492435455322
1,{} teddybear sitting at the beach with a view of the sea,27,0.4793037176132202
