prompt_index,prompt,image_index,score
0, a dog,0,19.664213180541992
0, a dog,1,20.314790725708008
0, a dog,2,19.19295883178711
0, a dog,3,19.650365829467773
0, a dog,4,17.420677185058594
0, a dog,5,18.592920303344727
0, a dog,6,18.09182357788086
0, a dog,7,18.431100845336914
0, a dog,8,18.50518226623535
0, a dog,9,18.834716796875
0, a dog,10,19.124544143676758
0, a dog,11,18.86090850830078
0, a dog,12,17.800199508666992
0, a dog,13,18.298391342163086
0, a dog,14,19.157045364379883
0, a dog,15,19.616395950317383
0, a dog,16,18.61506462097168
0, a dog,17,18.68721580505371
0, a dog,18,18.204586029052734
0, a dog,19,19.110017776489258
0, a dog,20,19.185697555541992
0, a dog,21,17.774978637695312
0, a dog,22,17.903600692749023
0, a dog,23,18.26886558532715
0, a dog,24,18.75062370300293
0, a dog,25,18.036893844604492
0, a dog,26,17.8012638092041
0, a dog,27,18.721965789794922
0, a dog,28,19.29096031188965
0, a dog,29,18.480873107910156
0, a dog,30,18.496400833129883
0, a dog,31,18.36360740661621
0, a dog,32,18.27761459350586
0, a dog,33,17.878023147583008
0, a dog,34,18.423004150390625
0, a dog,35,19.625356674194336
0, a dog,36,18.528169631958008
0, a dog,37,17.029220581054688
0, a dog,38,18.222705841064453
0, a dog,39,18.018375396728516
0, a dog,40,19.902896881103516
0, a dog,41,19.13839340209961
0, a dog,42,18.76205825805664
0, a dog,43,18.70523452758789
0, a dog,44,18.414752960205078
0, a dog,45,18.485944747924805
0, a dog,46,17.478328704833984
0, a dog,47,17.96831512451172
0, a dog,48,17.110305786132812
0, a dog,49,17.900388717651367
1, a dog,0,18.8620662689209
1, a dog,1,19.8655948638916
1, a dog,2,19.468429565429688
1, a dog,3,18.547801971435547
1, a dog,4,19.2689266204834
1, a dog,5,19.374454498291016
1, a dog,6,19.41223907470703
1, a dog,7,19.49846076965332
1, a dog,8,18.844959259033203
1, a dog,9,17.97858428955078
1, a dog,10,20.0991153717041
1, a dog,11,19.273128509521484
1, a dog,12,19.45663833618164
1, a dog,13,18.633874893188477
1, a dog,14,20.472387313842773
1, a dog,15,20.186120986938477
1, a dog,16,18.93830108642578
1, a dog,17,15.722715377807617
1, a dog,18,18.966806411743164
1, a dog,19,19.598297119140625
1, a dog,20,17.87329864501953
1, a dog,21,18.89377212524414
1, a dog,22,19.740358352661133
1, a dog,23,19.89113426208496
1, a dog,24,18.63176155090332
1, a dog,25,19.54387092590332
1, a dog,26,17.947595596313477
1, a dog,27,18.811813354492188
1, a dog,28,19.281444549560547
1, a dog,29,19.24793815612793
1, a dog,30,19.56425666809082
1, a dog,31,18.565410614013672
1, a dog,32,19.65335464477539
1, a dog,33,19.693462371826172
1, a dog,34,20.00543975830078
1, a dog,35,19.236873626708984
1, a dog,36,18.811323165893555
