prompt_index,prompt,image_index,score
0, grand canyon,0,23.325374603271484
0, grand canyon,1,23.571504592895508
0, grand canyon,2,23.117403030395508
0, grand canyon,3,23.241256713867188
0, grand canyon,4,20.988040924072266
0, grand canyon,5,22.43743324279785
0, grand canyon,6,22.007978439331055
0, grand canyon,7,21.878721237182617
0, grand canyon,8,23.144882202148438
0, grand canyon,9,23.634056091308594
0, grand canyon,10,22.594356536865234
0, grand canyon,11,22.377290725708008
0, grand canyon,12,21.71925926208496
0, grand canyon,13,21.558311462402344
0, grand canyon,14,22.09987449645996
0, grand canyon,15,23.00029754638672
0, grand canyon,16,22.77651596069336
0, grand canyon,17,23.236385345458984
0, grand canyon,18,21.917816162109375
0, grand canyon,19,22.357158660888672
0, grand canyon,20,22.603975296020508
0, grand canyon,21,20.541906356811523
0, grand canyon,22,21.783523559570312
0, grand canyon,23,22.005090713500977
0, grand canyon,24,21.932769775390625
0, grand canyon,25,21.63850212097168
0, grand canyon,26,22.290382385253906
0, grand canyon,27,22.6593074798584
0, grand canyon,28,22.048789978027344
0, grand canyon,29,23.09965705871582
0, grand canyon,30,23.234943389892578
0, grand canyon,31,21.20289421081543
0, grand canyon,32,18.9411678314209
0, grand canyon,33,22.586023330688477
0, grand canyon,34,22.865663528442383
0, grand canyon,35,22.111103057861328
0, grand canyon,36,21.57403564453125
0, grand canyon,37,19.917497634887695
0, grand canyon,38,22.324831008911133
0, grand canyon,39,20.492645263671875
0, grand canyon,40,22.705341339111328
0, grand canyon,41,24.55103302001953
0, grand canyon,42,22.266183853149414
0, grand canyon,43,23.16996192932129
0, grand canyon,44,22.799976348876953
0, grand canyon,45,22.048303604125977
0, grand canyon,46,21.634414672851562
0, grand canyon,47,21.819435119628906
0, grand canyon,48,22.87639045715332
0, grand canyon,49,21.50563621520996
1, beach with a view of the sea,0,20.297100067138672
1, beach with a view of the sea,1,20.660097122192383
1, beach with a view of the sea,2,20.374679565429688
1, beach with a view of the sea,3,19.008380889892578
1, beach with a view of the sea,4,21.629743576049805
1, beach with a view of the sea,5,20.196128845214844
1, beach with a view of the sea,6,23.246782302856445
1, beach with a view of the sea,7,20.809640884399414
1, beach with a view of the sea,8,20.25313949584961
1, beach with a view of the sea,9,20.31802749633789
1, beach with a view of the sea,10,21.35151481628418
1, beach with a view of the sea,11,20.02570915222168
1, beach with a view of the sea,12,19.796388626098633
1, beach with a view of the sea,13,19.16024398803711
1, beach with a view of the sea,14,21.053932189941406
1, beach with a view of the sea,15,21.216657638549805
1, beach with a view of the sea,16,19.469865798950195
1, beach with a view of the sea,17,20.62321662902832
1, beach with a view of the sea,18,21.420812606811523
1, beach with a view of the sea,19,20.40427589416504
1, beach with a view of the sea,20,17.408252716064453
1, beach with a view of the sea,21,19.960445404052734
1, beach with a view of the sea,22,20.560800552368164
1, beach with a view of the sea,23,21.53227996826172
1, beach with a view of the sea,24,19.919265747070312
1, beach with a view of the sea,25,20.05670738220215
1, beach with a view of the sea,26,19.84214210510254
1, beach with a view of the sea,27,20.7215576171875
1, beach with a view of the sea,28,20.878204345703125
1, beach with a view of the sea,29,19.989910125732422
1, beach with a view of the sea,30,20.593238830566406
1, beach with a view of the sea,31,19.90154457092285
1, beach with a view of the sea,32,20.188980102539062
1, beach with a view of the sea,33,21.061206817626953
1, beach with a view of the sea,34,21.457630157470703
1, beach with a view of the sea,35,20.61492347717285
1, beach with a view of the sea,36,21.010848999023438
1, beach with a view of the sea,37,19.511831283569336
1, beach with a view of the sea,38,20.119693756103516
1, beach with a view of the sea,39,20.83306884765625
1, beach with a view of the sea,40,20.99942970275879
1, beach with a view of the sea,41,20.126121520996094
1, beach with a view of the sea,42,19.46367073059082
1, beach with a view of the sea,43,20.67059326171875
1, beach with a view of the sea,44,19.018247604370117
1, beach with a view of the sea,45,19.894742965698242
1, beach with a view of the sea,46,21.33156394958496
1, beach with a view of the sea,47,20.294647216796875
1, beach with a view of the sea,48,20.013484954833984
1, beach with a view of the sea,49,21.240942001342773
2, times square,0,19.714502334594727
2, times square,1,20.696636199951172
2, times square,2,16.107746124267578
2, times square,3,21.3742733001709
2, times square,4,14.613534927368164
2, times square,5,11.197250366210938
2, times square,6,15.718267440795898
2, times square,7,20.457996368408203
2, times square,8,21.284099578857422
2, times square,9,21.31618309020996
2, times square,10,18.162302017211914
2, times square,11,12.492391586303711
2, times square,12,20.43691062927246
2, times square,13,20.126304626464844
2, times square,14,18.12619400024414
2, times square,15,22.51252555847168
2, times square,16,16.152986526489258
2, times square,17,18.5572452545166
2, times square,18,17.583362579345703
2, times square,19,14.392248153686523
2, times square,20,20.13922882080078
2, times square,21,21.16791343688965
2, times square,22,20.582595825195312
2, times square,23,21.601964950561523
2, times square,24,13.615633964538574
2, times square,25,20.864580154418945
2, times square,26,11.14754581451416
2, times square,27,11.27591609954834
2, times square,28,19.030929565429688
2, times square,29,18.05965232849121
2, times square,30,20.33863067626953
2, times square,31,9.048168182373047
2, times square,32,14.794501304626465
2, times square,33,13.436844825744629
2, times square,34,16.17411994934082
2, times square,35,20.486120223999023
2, times square,36,20.738332748413086
2, times square,37,20.401174545288086
2, times square,38,22.337739944458008
2, times square,39,9.705151557922363
2, times square,40,20.741697311401367
2, times square,41,18.66202735900879
2, times square,42,14.057218551635742
2, times square,43,20.064207077026367
2, times square,44,20.995346069335938
2, times square,45,15.742958068847656
2, times square,46,13.847799301147461
2, times square,47,13.325050354003906
2, times square,48,20.119983673095703
2, times square,49,21.869688034057617
3, wearing sunglasses,0,23.265127182006836
3, wearing sunglasses,1,22.897451400756836
3, wearing sunglasses,2,23.027206420898438
3, wearing sunglasses,3,23.513776779174805
3, wearing sunglasses,4,22.886184692382812
3, wearing sunglasses,5,23.12921905517578
3, wearing sunglasses,6,22.51378059387207
3, wearing sunglasses,7,22.19080924987793
3, wearing sunglasses,8,23.36577606201172
3, wearing sunglasses,9,22.970367431640625
3, wearing sunglasses,10,23.45322608947754
3, wearing sunglasses,11,23.60860824584961
3, wearing sunglasses,12,24.421875
3, wearing sunglasses,13,22.29169464111328
3, wearing sunglasses,14,22.701047897338867
3, wearing sunglasses,15,23.78036880493164
3, wearing sunglasses,16,23.33472442626953
3, wearing sunglasses,17,11.928597450256348
3, wearing sunglasses,18,22.059627532958984
3, wearing sunglasses,19,23.701852798461914
3, wearing sunglasses,20,19.563274383544922
3, wearing sunglasses,21,23.427257537841797
3, wearing sunglasses,22,23.170379638671875
3, wearing sunglasses,23,22.76378631591797
3, wearing sunglasses,24,23.804298400878906
3, wearing sunglasses,25,22.580368041992188
3, wearing sunglasses,26,23.306758880615234
3, wearing sunglasses,27,19.738630294799805
3, wearing sunglasses,28,23.94009017944336
3, wearing sunglasses,29,22.672792434692383
3, wearing sunglasses,30,22.57575035095215
3, wearing sunglasses,31,22.36582374572754
3, wearing sunglasses,32,22.085922241210938
3, wearing sunglasses,33,22.932594299316406
3, wearing sunglasses,34,21.452739715576172
3, wearing sunglasses,35,24.077354431152344
3, wearing sunglasses,36,22.016395568847656
3, wearing sunglasses,37,22.286977767944336
3, wearing sunglasses,38,22.76848602294922
3, wearing sunglasses,39,21.854373931884766
3, wearing sunglasses,40,22.858123779296875
3, wearing sunglasses,41,23.111066818237305
3, wearing sunglasses,42,22.964834213256836
3, wearing sunglasses,43,22.376367568969727
3, wearing sunglasses,44,21.252849578857422
3, wearing sunglasses,45,21.244382858276367
3, wearing sunglasses,46,22.766860961914062
3, wearing sunglasses,47,23.034465789794922
3, wearing sunglasses,48,20.851398468017578
3, wearing sunglasses,49,21.980321884155273
4, working on the laptop,0,20.120750427246094
4, working on the laptop,1,21.027660369873047
4, working on the laptop,2,16.859071731567383
4, working on the laptop,3,15.139245986938477
4, working on the laptop,4,21.672883987426758
