prompt_index,prompt,image_index,score
0, a teddybear,0,20.71639060974121
0, a teddybear,1,20.26186180114746
0, a teddybear,2,20.03244400024414
0, a teddybear,3,19.89830780029297
0, a teddybear,4,18.987842559814453
0, a teddybear,5,20.962905883789062
0, a teddybear,6,20.88534927368164
0, a teddybear,7,20.135190963745117
0, a teddybear,8,21.060258865356445
0, a teddybear,9,19.924158096313477
0, a teddybear,10,18.85586166381836
0, a teddybear,11,20.165084838867188
0, a teddybear,12,19.22674560546875
0, a teddybear,13,20.04851722717285
0, a teddybear,14,20.74787139892578
0, a teddybear,15,19.32855987548828
0, a teddybear,16,19.77906608581543
0, a teddybear,17,20.183561325073242
0, a teddybear,18,19.80653190612793
0, a teddybear,19,20.416324615478516
0, a teddybear,20,19.540973663330078
0, a teddybear,21,20.33221435546875
0, a teddybear,22,19.79751205444336
0, a teddybear,23,20.112613677978516
0, a teddybear,24,19.397302627563477
0, a teddybear,25,20.23277473449707
0, a teddybear,26,18.358781814575195
0, a teddybear,27,20.490697860717773
0, a teddybear,28,20.15447235107422
0, a teddybear,29,19.42017936706543
0, a teddybear,30,20.072755813598633
0, a teddybear,31,18.34784507751465
0, a teddybear,32,20.561643600463867
0, a teddybear,33,19.916189193725586
0, a teddybear,34,18.956588745117188
0, a teddybear,35,18.73155403137207
0, a teddybear,36,19.887258529663086
0, a teddybear,37,20.207887649536133
0, a teddybear,38,20.604955673217773
0, a teddybear,39,20.24284553527832
0, a teddybear,40,20.472389221191406
0, a teddybear,41,18.721147537231445
0, a teddybear,42,19.164772033691406
0, a teddybear,43,18.85814094543457
0, a teddybear,44,20.69209098815918
0, a teddybear,45,21.450439453125
0, a teddybear,46,19.97283935546875
0, a teddybear,47,20.032062530517578
0, a teddybear,48,18.552562713623047
0, a teddybear,49,19.521608352661133
1, a teddybear,0,20.564743041992188
1, a teddybear,1,21.475597381591797
1, a teddybear,2,20.56964874267578
1, a teddybear,3,21.50339126586914
1, a teddybear,4,21.553956985473633
1, a teddybear,5,21.073394775390625
1, a teddybear,6,20.838499069213867
1, a teddybear,7,20.691530227661133
1, a teddybear,8,20.901405334472656
1, a teddybear,9,20.971515655517578
1, a teddybear,10,23.037321090698242
1, a teddybear,11,20.786863327026367
1, a teddybear,12,20.944686889648438
1, a teddybear,13,20.453571319580078
1, a teddybear,14,21.32103157043457
1, a teddybear,15,19.45577049255371
1, a teddybear,16,20.9251766204834
1, a teddybear,17,20.34381103515625
1, a teddybear,18,21.53677749633789
1, a teddybear,19,20.94173240661621
1, a teddybear,20,22.770259857177734
1, a teddybear,21,20.35201644897461
1, a teddybear,22,20.399566650390625
1, a teddybear,23,20.080760955810547
1, a teddybear,24,20.099964141845703
1, a teddybear,25,21.453170776367188
1, a teddybear,26,19.667980194091797
1, a teddybear,27,20.862106323242188
1, a teddybear,28,22.157249450683594
1, a teddybear,29,19.87592887878418
1, a teddybear,30,22.584131240844727
1, a teddybear,31,21.149757385253906
1, a teddybear,32,21.62991714477539
1, a teddybear,33,22.24134063720703
1, a teddybear,34,20.165924072265625
1, a teddybear,35,20.96628189086914
1, a teddybear,36,21.580842971801758
1, a teddybear,37,21.7890625
1, a teddybear,38,21.979999542236328
1, a teddybear,39,21.941999435424805
1, a teddybear,40,21.96216583251953
1, a teddybear,41,20.57801628112793
1, a teddybear,42,21.57673454284668
1, a teddybear,43,20.666170120239258
1, a teddybear,44,21.992021560668945
1, a teddybear,45,20.60965919494629
1, a teddybear,46,21.79193115234375
1, a teddybear,47,20.600618362426758
1, a teddybear,48,20.65624237060547
1, a teddybear,49,20.954952239990234
2, a teddybear,0,22.333377838134766
2, a teddybear,1,23.493688583374023
2, a teddybear,2,23.610645294189453
2, a teddybear,3,23.06201934814453
2, a teddybear,4,21.947298049926758
2, a teddybear,5,21.1878604888916
2, a teddybear,6,21.924989700317383
2, a teddybear,7,20.70803451538086
2, a teddybear,8,22.293243408203125
2, a teddybear,9,23.488786697387695
2, a teddybear,10,20.68524932861328
2, a teddybear,11,22.82004737854004
2, a teddybear,12,22.59485626220703
2, a teddybear,13,20.818037033081055
2, a teddybear,14,22.855749130249023
2, a teddybear,15,22.215259552001953
2, a teddybear,16,23.51224708557129
2, a teddybear,17,23.348600387573242
2, a teddybear,18,23.39306640625
2, a teddybear,19,20.67866325378418
2, a teddybear,20,21.038785934448242
2, a teddybear,21,19.043968200683594
2, a teddybear,22,19.997873306274414
2, a teddybear,23,23.210498809814453
2, a teddybear,24,23.334260940551758
2, a teddybear,25,22.477745056152344
2, a teddybear,26,22.890926361083984
2, a teddybear,27,22.929317474365234
2, a teddybear,28,22.676504135131836
2, a teddybear,29,21.07706069946289
2, a teddybear,30,21.099319458007812
2, a teddybear,31,22.695537567138672
2, a teddybear,32,21.22087860107422
2, a teddybear,33,22.662492752075195
2, a teddybear,34,21.647502899169922
2, a teddybear,35,22.565326690673828
2, a teddybear,36,21.498342514038086
2, a teddybear,37,21.97627067565918
2, a teddybear,38,21.051815032958984
2, a teddybear,39,22.842021942138672
2, a teddybear,40,23.213701248168945
2, a teddybear,41,23.289981842041016
2, a teddybear,42,22.22381019592285
2, a teddybear,43,21.756729125976562
2, a teddybear,44,22.19148063659668
2, a teddybear,45,23.1317138671875
2, a teddybear,46,20.230030059814453
2, a teddybear,47,21.798551559448242
2, a teddybear,48,21.98566246032715
2, a teddybear,49,22.221954345703125
3, a teddybear,0,21.272777557373047
3, a teddybear,1,21.78710174560547
3, a teddybear,2,21.570140838623047
3, a teddybear,3,20.815885543823242
3, a teddybear,4,20.391447067260742
3, a teddybear,5,19.208553314208984
3, a teddybear,6,20.609703063964844
3, a teddybear,7,19.308940887451172
3, a teddybear,8,19.845767974853516
3, a teddybear,9,22.41552734375
3, a teddybear,10,20.76541519165039
3, a teddybear,11,19.764097213745117
3, a teddybear,12,22.532855987548828
3, a teddybear,13,21.519269943237305
3, a teddybear,14,21.410850524902344
3, a teddybear,15,21.39881134033203
3, a teddybear,16,20.591318130493164
3, a teddybear,17,20.778026580810547
3, a teddybear,18,20.52680206298828
3, a teddybear,19,21.927366256713867
3, a teddybear,20,19.58833122253418
3, a teddybear,21,20.738861083984375
3, a teddybear,22,20.54085922241211
3, a teddybear,23,20.58497428894043
3, a teddybear,24,21.227388381958008
3, a teddybear,25,20.77507781982422
3, a teddybear,26,21.241497039794922
3, a teddybear,27,21.27070426940918
3, a teddybear,28,20.75652503967285
3, a teddybear,29,22.208866119384766
3, a teddybear,30,22.04347801208496
3, a teddybear,31,20.76656723022461
3, a teddybear,32,20.54945945739746
3, a teddybear,33,21.740398406982422
3, a teddybear,34,21.46547508239746
3, a teddybear,35,18.86506462097168
3, a teddybear,36,20.602066040039062
3, a teddybear,37,21.475107192993164
3, a teddybear,38,20.994701385498047
3, a teddybear,39,20.59673309326172
3, a teddybear,40,21.530628204345703
3, a teddybear,41,20.297510147094727
3, a teddybear,42,19.773393630981445
3, a teddybear,43,21.883947372436523
3, a teddybear,44,20.583961486816406
3, a teddybear,45,20.715476989746094
3, a teddybear,46,19.88290786743164
3, a teddybear,47,21.74378776550293
3, a teddybear,48,21.56011962890625
3, a teddybear,49,19.645944595336914
4, a teddybear,0,18.448135375976562
4, a teddybear,1,19.083139419555664
4, a teddybear,2,19.352256774902344
4, a teddybear,3,15.875792503356934
4, a teddybear,4,18.499582290649414
4, a teddybear,5,18.205106735229492
4, a teddybear,6,18.11705780029297
4, a teddybear,7,18.40125846862793
4, a teddybear,8,19.496858596801758
4, a teddybear,9,19.15920066833496
4, a teddybear,10,18.545141220092773
4, a teddybear,11,18.537572860717773
4, a teddybear,12,19.360546112060547
4, a teddybear,13,17.369474411010742
4, a teddybear,14,16.599193572998047
4, a teddybear,15,18.89249610900879
4, a teddybear,16,20.736507415771484
4, a teddybear,17,17.451385498046875
4, a teddybear,18,16.599637985229492
4, a teddybear,19,17.726951599121094
4, a teddybear,20,18.672679901123047
4, a teddybear,21,19.054658889770508
4, a teddybear,22,19.49884605407715
4, a teddybear,23,19.883724212646484
4, a teddybear,24,18.73594093322754
4, a teddybear,25,16.363780975341797
4, a teddybear,26,19.354829788208008
4, a teddybear,27,17.64165687561035
4, a teddybear,28,18.71833610534668
4, a teddybear,29,17.861591339111328
4, a teddybear,30,19.447704315185547
4, a teddybear,31,21.418886184692383
4, a teddybear,32,18.38431739807129
4, a teddybear,33,18.34990119934082
4, a teddybear,34,19.95999526977539
4, a teddybear,35,18.57953453063965
4, a teddybear,36,18.648792266845703
4, a teddybear,37,17.305355072021484
4, a teddybear,38,17.751174926757812
4, a teddybear,39,17.719053268432617
4, a teddybear,40,19.410505294799805
4, a teddybear,41,17.546390533447266
4, a teddybear,42,17.500167846679688
4, a teddybear,43,17.75644302368164
4, a teddybear,44,19.22208023071289
4, a teddybear,45,18.674726486206055
4, a teddybear,46,17.833879470825195
4, a teddybear,47,17.51311492919922
4, a teddybear,48,17.4505672454834
4, a teddybear,49,17.923503875732422
5, a teddybear,0,20.400371551513672
5, a teddybear,1,18.95066261291504
5, a teddybear,2,22.148296356201172
5, a teddybear,3,19.134689331054688
5, a teddybear,4,19.643890380859375
5, a teddybear,5,21.35954475402832
5, a teddybear,6,21.990333557128906
5, a teddybear,7,21.094484329223633
5, a teddybear,8,21.154651641845703
5, a teddybear,9,21.958784103393555
5, a teddybear,10,17.393163681030273
5, a teddybear,11,20.739412307739258
5, a teddybear,12,20.396080017089844
5, a teddybear,13,23.29338836669922
5, a teddybear,14,21.187427520751953
5, a teddybear,15,19.97897720336914
5, a teddybear,16,21.71120262145996
5, a teddybear,17,20.12101173400879
5, a teddybear,18,22.071657180786133
5, a teddybear,19,23.23411750793457
5, a teddybear,20,20.074485778808594
5, a teddybear,21,20.719533920288086
5, a teddybear,22,21.73845100402832
5, a teddybear,23,20.00055503845215
5, a teddybear,24,20.062541961669922
5, a teddybear,25,22.622310638427734
5, a teddybear,26,19.816247940063477
5, a teddybear,27,22.175321578979492
5, a teddybear,28,21.636518478393555
5, a teddybear,29,18.817964553833008
5, a teddybear,30,20.47382926940918
5, a teddybear,31,19.755756378173828
5, a teddybear,32,18.75259017944336
5, a teddybear,33,19.54427719116211
5, a teddybear,34,19.292356491088867
5, a teddybear,35,19.9001407623291
5, a teddybear,36,18.36132049560547
5, a teddybear,37,18.782428741455078
5, a teddybear,38,19.942615509033203
5, a teddybear,39,22.13214683532715
5, a teddybear,40,19.1023006439209
5, a teddybear,41,21.877992630004883
5, a teddybear,42,21.314014434814453
5, a teddybear,43,21.984928131103516
5, a teddybear,44,22.41870880126953
5, a teddybear,45,21.90192222595215
5, a teddybear,46,17.65241813659668
5, a teddybear,47,21.117307662963867
5, a teddybear,48,20.35291290283203
5, a teddybear,49,20.113388061523438
6, a teddybear,0,21.41118049621582
6, a teddybear,1,19.89889907836914
6, a teddybear,2,20.073843002319336
6, a teddybear,3,19.43548011779785
6, a teddybear,4,19.768617630004883
6, a teddybear,5,22.05506706237793
6, a teddybear,6,22.056596755981445
6, a teddybear,7,19.819101333618164
6, a teddybear,8,17.848146438598633
6, a teddybear,9,19.324565887451172
6, a teddybear,10,19.461135864257812
6, a teddybear,11,19.75152587890625
6, a teddybear,12,17.739784240722656
6, a teddybear,13,20.51094627380371
6, a teddybear,14,20.99585723876953
6, a teddybear,15,19.792057037353516
6, a teddybear,16,19.13936424255371
6, a teddybear,17,20.721147537231445
6, a teddybear,18,19.178646087646484
6, a teddybear,19,20.7607364654541
6, a teddybear,20,19.435747146606445
6, a teddybear,21,20.838924407958984
6, a teddybear,22,20.37615394592285
6, a teddybear,23,19.840688705444336
6, a teddybear,24,19.582059860229492
6, a teddybear,25,19.665693283081055
6, a teddybear,26,19.979087829589844
6, a teddybear,27,19.377761840820312
6, a teddybear,28,19.04993438720703
6, a teddybear,29,20.339927673339844
6, a teddybear,30,21.26532745361328
6, a teddybear,31,19.001188278198242
6, a teddybear,32,19.60570526123047
6, a teddybear,33,21.684717178344727
6, a teddybear,34,19.80938720703125
6, a teddybear,35,18.194076538085938
6, a teddybear,36,19.144882202148438
6, a teddybear,37,20.283466339111328
6, a teddybear,38,19.84910011291504
6, a teddybear,39,18.676223754882812
6, a teddybear,40,18.461183547973633
6, a teddybear,41,18.82554054260254
6, a teddybear,42,18.936635971069336
6, a teddybear,43,18.442907333374023
6, a teddybear,44,18.91667938232422
6, a teddybear,45,20.625335693359375
6, a teddybear,46,19.148237228393555
6, a teddybear,47,20.206321716308594
6, a teddybear,48,18.94811248779297
6, a teddybear,49,21.078418731689453
7, a teddybear,0,17.979843139648438
7, a teddybear,1,18.833534240722656
7, a teddybear,2,20.16673469543457
7, a teddybear,3,19.850175857543945
7, a teddybear,4,20.753904342651367
7, a teddybear,5,17.316003799438477
7, a teddybear,6,22.247011184692383
7, a teddybear,7,19.607471466064453
7, a teddybear,8,19.11090850830078
7, a teddybear,9,20.895294189453125
7, a teddybear,10,21.52812385559082
7, a teddybear,11,19.649639129638672
7, a teddybear,12,21.283056259155273
7, a teddybear,13,20.193492889404297
7, a teddybear,14,18.959121704101562
7, a teddybear,15,21.3172550201416
7, a teddybear,16,21.609251022338867
7, a teddybear,17,17.79847526550293
