prompt_index,prompt,image_index,score
0,{} teddybear in grand canyon,0,0.31677207350730896
0,{} teddybear in grand canyon,1,0.39372777938842773
0,{} teddybear in grand canyon,2,0.5138759613037109
0,{} teddybear in grand canyon,3,0.3460628390312195
0,{} teddybear in grand canyon,4,0.4126262068748474
0,{} teddybear in grand canyon,5,0.48422545194625854
0,{} teddybear in grand canyon,6,0.47888070344924927
0,{} teddybear in grand canyon,7,0.468616247177124
0,{} teddybear in grand canyon,8,0.43162161111831665
0,{} teddybear in grand canyon,9,0.29212576150894165
0,{} teddybear in grand canyon,10,0.349717378616333
0,{} teddybear in grand canyon,11,0.40863746404647827
0,{} teddybear in grand canyon,12,0.38351383805274963
0,{} teddybear in grand canyon,13,0.37434646487236023
0,{} teddybear in grand canyon,14,0.37908732891082764
0,{} teddybear in grand canyon,15,0.26067036390304565
0,{} teddybear in grand canyon,16,0.421761155128479
0,{} teddybear in grand canyon,17,0.39406800270080566
0,{} teddybear in grand canyon,18,0.3625471889972687
0,{} teddybear in grand canyon,19,0.4358508884906769
0,{} teddybear in grand canyon,20,0.33489346504211426
0,{} teddybear in grand canyon,21,0.4513624310493469
0,{} teddybear in grand canyon,22,0.3782082796096802
0,{} teddybear in grand canyon,23,0.402690589427948
0,{} teddybear in grand canyon,24,0.4093668758869171
0,{} teddybear in grand canyon,25,0.43152856826782227
0,{} teddybear in grand canyon,26,0.4565243422985077
0,{} teddybear in grand canyon,27,0.5542042851448059
0,{} teddybear in grand canyon,28,0.41201087832450867
0,{} teddybear in grand canyon,29,0.40940582752227783
0,{} teddybear in grand canyon,30,0.4762890338897705
0,{} teddybear in grand canyon,31,0.3078845143318176
0,{} teddybear in grand canyon,32,0.4385768175125122
0,{} teddybear in grand canyon,33,0.3377170264720917
0,{} teddybear in grand canyon,34,0.3734457492828369
0,{} teddybear in grand canyon,35,0.34303081035614014
0,{} teddybear in grand canyon,36,0.3571184575557709
0,{} teddybear in grand canyon,37,0.4868125319480896
0,{} teddybear in grand canyon,38,0.4434438943862915
0,{} teddybear in grand canyon,39,0.34671682119369507
0,{} teddybear in grand canyon,40,0.40851637721061707
0,{} teddybear in grand canyon,41,0.3653602600097656
0,{} teddybear in grand canyon,42,0.3973313868045807
0,{} teddybear in grand canyon,43,0.36257022619247437
0,{} teddybear in grand canyon,44,0.48268261551856995
0,{} teddybear in grand canyon,45,0.45679670572280884
0,{} teddybear in grand canyon,46,0.33174586296081543
0,{} teddybear in grand canyon,47,0.36002475023269653
0,{} teddybear in grand canyon,48,0.2758060395717621
0,{} teddybear in grand canyon,49,0.3176835775375366
1,{} teddybear sitting at the beach with a view of the sea,0,0.5884221792221069
1,{} teddybear sitting at the beach with a view of the sea,1,0.5619590878486633
1,{} teddybear sitting at the beach with a view of the sea,2,0.5834101438522339
1,{} teddybear sitting at the beach with a view of the sea,3,0.5727143287658691
1,{} teddybear sitting at the beach with a view of the sea,4,0.5965343713760376
1,{} teddybear sitting at the beach with a view of the sea,5,0.5837982892990112
1,{} teddybear sitting at the beach with a view of the sea,6,0.6292192339897156
1,{} teddybear sitting at the beach with a view of the sea,7,0.5698070526123047
1,{} teddybear sitting at the beach with a view of the sea,8,0.5431557893753052
1,{} teddybear sitting at the beach with a view of the sea,9,0.562524139881134
1,{} teddybear sitting at the beach with a view of the sea,10,0.5863219499588013
1,{} teddybear sitting at the beach with a view of the sea,11,0.5563119053840637
