prompt_index,prompt,image_index,score
0,{} teddybear in grand canyon,0,29.556488037109375
0,{} teddybear in grand canyon,1,33.359371185302734
0,{} teddybear in grand canyon,2,32.71023941040039
0,{} teddybear in grand canyon,3,29.42964744567871
0,{} teddybear in grand canyon,4,31.41101837158203
0,{} teddybear in grand canyon,5,30.763626098632812
0,{} teddybear in grand canyon,6,32.59943771362305
0,{} teddybear in grand canyon,7,27.092117309570312
0,{} teddybear in grand canyon,8,28.863086700439453
0,{} teddybear in grand canyon,9,26.612354278564453
0,{} teddybear in grand canyon,10,33.467411041259766
0,{} teddybear in grand canyon,11,28.745630264282227
0,{} teddybear in grand canyon,12,30.651512145996094
0,{} teddybear in grand canyon,13,30.536645889282227
0,{} teddybear in grand canyon,14,26.895320892333984
0,{} teddybear in grand canyon,15,32.11223220825195
0,{} teddybear in grand canyon,16,30.309730529785156
0,{} teddybear in grand canyon,17,27.161895751953125
0,{} teddybear in grand canyon,18,30.233139038085938
0,{} teddybear in grand canyon,19,32.780208587646484
0,{} teddybear in grand canyon,20,30.602746963500977
0,{} teddybear in grand canyon,21,32.567649841308594
0,{} teddybear in grand canyon,22,27.473800659179688
0,{} teddybear in grand canyon,23,33.82288360595703
0,{} teddybear in grand canyon,24,31.701385498046875
0,{} teddybear in grand canyon,25,30.67336654663086
0,{} teddybear in grand canyon,26,29.7509822845459
0,{} teddybear in grand canyon,27,31.541770935058594
0,{} teddybear in grand canyon,28,30.603435516357422
0,{} teddybear in grand canyon,29,28.58097267150879
0,{} teddybear in grand canyon,30,31.01268768310547
0,{} teddybear in grand canyon,31,29.498703002929688
0,{} teddybear in grand canyon,32,31.12654685974121
0,{} teddybear in grand canyon,33,27.60935401916504
0,{} teddybear in grand canyon,34,27.856916427612305
0,{} teddybear in grand canyon,35,30.67540740966797
0,{} teddybear in grand canyon,36,27.159149169921875
0,{} teddybear in grand canyon,37,31.955120086669922
0,{} teddybear in grand canyon,38,32.810672760009766
0,{} teddybear in grand canyon,39,32.47514343261719
0,{} teddybear in grand canyon,40,33.48320388793945
0,{} teddybear in grand canyon,41,29.85932159423828
0,{} teddybear in grand canyon,42,31.411218643188477
0,{} teddybear in grand canyon,43,26.358694076538086
0,{} teddybear in grand canyon,44,29.93454360961914
0,{} teddybear in grand canyon,45,26.665651321411133
0,{} teddybear in grand canyon,46,31.343358993530273
0,{} teddybear in grand canyon,47,30.343303680419922
0,{} teddybear in grand canyon,48,31.475305557250977
0,{} teddybear in grand canyon,49,28.669029235839844
1,{} teddybear sitting at the beach with a view of the sea,0,29.06549835205078
1,{} teddybear sitting at the beach with a view of the sea,1,28.68891143798828
1,{} teddybear sitting at the beach with a view of the sea,2,28.73556900024414
1,{} teddybear sitting at the beach with a view of the sea,3,27.252790451049805
1,{} teddybear sitting at the beach with a view of the sea,4,27.267295837402344
1,{} teddybear sitting at the beach with a view of the sea,5,28.919740676879883
1,{} teddybear sitting at the beach with a view of the sea,6,28.094240188598633
1,{} teddybear sitting at the beach with a view of the sea,7,27.848115921020508
1,{} teddybear sitting at the beach with a view of the sea,8,26.9221134185791
1,{} teddybear sitting at the beach with a view of the sea,9,27.788406372070312
1,{} teddybear sitting at the beach with a view of the sea,10,28.32966423034668
1,{} teddybear sitting at the beach with a view of the sea,11,28.84604263305664
1,{} teddybear sitting at the beach with a view of the sea,12,27.105838775634766
1,{} teddybear sitting at the beach with a view of the sea,13,28.538496017456055
1,{} teddybear sitting at the beach with a view of the sea,14,27.920076370239258
1,{} teddybear sitting at the beach with a view of the sea,15,28.413259506225586
1,{} teddybear sitting at the beach with a view of the sea,16,29.0948429107666
1,{} teddybear sitting at the beach with a view of the sea,17,28.361351013183594
1,{} teddybear sitting at the beach with a view of the sea,18,29.80288314819336
1,{} teddybear sitting at the beach with a view of the sea,19,27.9167537689209
1,{} teddybear sitting at the beach with a view of the sea,20,29.070816040039062
1,{} teddybear sitting at the beach with a view of the sea,21,28.608291625976562
1,{} teddybear sitting at the beach with a view of the sea,22,28.530061721801758
1,{} teddybear sitting at the beach with a view of the sea,23,29.10943031311035
1,{} teddybear sitting at the beach with a view of the sea,24,29.144901275634766
1,{} teddybear sitting at the beach with a view of the sea,25,28.242778778076172
1,{} teddybear sitting at the beach with a view of the sea,26,27.157411575317383
1,{} teddybear sitting at the beach with a view of the sea,27,28.157960891723633
1,{} teddybear sitting at the beach with a view of the sea,28,28.42637062072754
1,{} teddybear sitting at the beach with a view of the sea,29,28.01112174987793
1,{} teddybear sitting at the beach with a view of the sea,30,29.108556747436523
1,{} teddybear sitting at the beach with a view of the sea,31,28.606849670410156
1,{} teddybear sitting at the beach with a view of the sea,32,28.980243682861328
1,{} teddybear sitting at the beach with a view of the sea,33,27.89407730102539
1,{} teddybear sitting at the beach with a view of the sea,34,29.553180694580078
1,{} teddybear sitting at the beach with a view of the sea,35,28.585397720336914
