prompt_index,prompt,image_index,score
0, a teddybear,0,19.06853675842285
0, a teddybear,1,22.078020095825195
0, a teddybear,2,19.624008178710938
0, a teddybear,3,20.859968185424805
0, a teddybear,4,21.986412048339844
0, a teddybear,5,20.126752853393555
0, a teddybear,6,20.741058349609375
0, a teddybear,7,21.929649353027344
0, a teddybear,8,20.453907012939453
0, a teddybear,9,21.137649536132812
0, a teddybear,10,21.487154006958008
0, a teddybear,11,19.53955841064453
0, a teddybear,12,20.075336456298828
0, a teddybear,13,21.048828125
0, a teddybear,14,21.017091751098633
0, a teddybear,15,20.284448623657227
0, a teddybear,16,21.174102783203125
0, a teddybear,17,22.17905044555664
0, a teddybear,18,18.973377227783203
0, a teddybear,19,20.626676559448242
0, a teddybear,20,21.160722732543945
0, a teddybear,21,21.375246047973633
0, a teddybear,22,21.179288864135742
0, a teddybear,23,19.92426872253418
0, a teddybear,24,21.603803634643555
0, a teddybear,25,22.063302993774414
0, a teddybear,26,21.103355407714844
0, a teddybear,27,20.780912399291992
0, a teddybear,28,20.86444664001465
0, a teddybear,29,20.627763748168945
0, a teddybear,30,19.857019424438477
0, a teddybear,31,21.23344612121582
0, a teddybear,32,21.383468627929688
0, a teddybear,33,21.397932052612305
0, a teddybear,34,20.969030380249023
0, a teddybear,35,21.223852157592773
0, a teddybear,36,20.37736701965332
0, a teddybear,37,19.58051872253418
0, a teddybear,38,21.677322387695312
0, a teddybear,39,20.859188079833984
0, a teddybear,40,20.929946899414062
0, a teddybear,41,21.63867950439453
0, a teddybear,42,19.965700149536133
0, a teddybear,43,21.323486328125
0, a teddybear,44,21.75287628173828
0, a teddybear,45,20.303226470947266
0, a teddybear,46,20.58915901184082
0, a teddybear,47,21.133708953857422
0, a teddybear,48,21.491228103637695
0, a teddybear,49,21.53875732421875
1, a teddybear,0,21.300546646118164
1, a teddybear,1,22.082693099975586
1, a teddybear,2,20.799524307250977
1, a teddybear,3,20.822582244873047
1, a teddybear,4,20.996212005615234
1, a teddybear,5,21.383089065551758
1, a teddybear,6,20.940038681030273
1, a teddybear,7,22.051815032958984
1, a teddybear,8,22.298574447631836
1, a teddybear,9,21.965824127197266
1, a teddybear,10,21.722726821899414
1, a teddybear,11,21.02888298034668
1, a teddybear,12,20.71019744873047
1, a teddybear,13,21.334609985351562
1, a teddybear,14,21.569400787353516
1, a teddybear,15,21.854639053344727
1, a teddybear,16,22.08333396911621
1, a teddybear,17,20.229740142822266
1, a teddybear,18,21.369552612304688
1, a teddybear,19,21.233516693115234
1, a teddybear,20,21.085542678833008
1, a teddybear,21,21.747764587402344
1, a teddybear,22,21.483304977416992
1, a teddybear,23,21.76407241821289
1, a teddybear,24,20.945463180541992
1, a teddybear,25,22.53513526916504
1, a teddybear,26,21.260366439819336
1, a teddybear,27,21.833293914794922
1, a teddybear,28,22.589675903320312
1, a teddybear,29,21.197572708129883
1, a teddybear,30,20.874813079833984
1, a teddybear,31,21.56804847717285
1, a teddybear,32,22.2155818939209
1, a teddybear,33,20.792028427124023
1, a teddybear,34,22.059741973876953
1, a teddybear,35,21.414932250976562
1, a teddybear,36,21.109718322753906
1, a teddybear,37,20.350000381469727
1, a teddybear,38,22.408052444458008
1, a teddybear,39,21.50455093383789
1, a teddybear,40,22.546783447265625
1, a teddybear,41,20.789939880371094
1, a teddybear,42,20.690092086791992
1, a teddybear,43,21.351543426513672
1, a teddybear,44,22.007417678833008
1, a teddybear,45,21.435619354248047
1, a teddybear,46,20.7325496673584
1, a teddybear,47,21.103591918945312
1, a teddybear,48,21.146425247192383
1, a teddybear,49,21.879316329956055
2, a teddybear,0,21.767845153808594
2, a teddybear,1,21.60548973083496
2, a teddybear,2,23.188430786132812
2, a teddybear,3,22.14046859741211
2, a teddybear,4,22.37879753112793
2, a teddybear,5,22.629188537597656
2, a teddybear,6,22.326078414916992
2, a teddybear,7,19.308073043823242
2, a teddybear,8,22.271650314331055
2, a teddybear,9,22.884143829345703
2, a teddybear,10,21.73133087158203
2, a teddybear,11,22.61693000793457
2, a teddybear,12,22.42196273803711
2, a teddybear,13,22.61728286743164
2, a teddybear,14,22.317384719848633
2, a teddybear,15,23.515993118286133
2, a teddybear,16,21.43375587463379
2, a teddybear,17,22.4726505279541
2, a teddybear,18,22.98240089416504
2, a teddybear,19,22.338008880615234
2, a teddybear,20,23.756515502929688
2, a teddybear,21,22.342082977294922
2, a teddybear,22,21.59117317199707
2, a teddybear,23,22.901430130004883
2, a teddybear,24,21.523466110229492
2, a teddybear,25,21.102928161621094
2, a teddybear,26,23.265560150146484
2, a teddybear,27,22.114931106567383
2, a teddybear,28,22.994827270507812
2, a teddybear,29,22.728025436401367
2, a teddybear,30,22.910459518432617
2, a teddybear,31,22.5515193939209
2, a teddybear,32,22.291255950927734
2, a teddybear,33,22.6706485748291
2, a teddybear,34,22.078041076660156
2, a teddybear,35,23.002239227294922
2, a teddybear,36,22.866165161132812
2, a teddybear,37,23.659034729003906
2, a teddybear,38,21.324312210083008
2, a teddybear,39,22.21435546875
2, a teddybear,40,23.188663482666016
2, a teddybear,41,22.6528263092041
2, a teddybear,42,22.189205169677734
2, a teddybear,43,23.624279022216797
2, a teddybear,44,22.663965225219727
2, a teddybear,45,22.666379928588867
2, a teddybear,46,23.333616256713867
2, a teddybear,47,23.41701316833496
2, a teddybear,48,22.085813522338867
2, a teddybear,49,22.114377975463867
3, a teddybear,0,19.734699249267578
3, a teddybear,1,21.06867218017578
3, a teddybear,2,21.990766525268555
3, a teddybear,3,22.210376739501953
3, a teddybear,4,21.52419662475586
3, a teddybear,5,22.117246627807617
3, a teddybear,6,22.42428970336914
3, a teddybear,7,22.058197021484375
3, a teddybear,8,21.132192611694336
3, a teddybear,9,21.045190811157227
3, a teddybear,10,20.65798568725586
3, a teddybear,11,19.965978622436523
3, a teddybear,12,21.85380744934082
3, a teddybear,13,18.533716201782227
3, a teddybear,14,21.521963119506836
3, a teddybear,15,19.868473052978516
3, a teddybear,16,21.831357955932617
3, a teddybear,17,21.074317932128906
3, a teddybear,18,21.351425170898438
3, a teddybear,19,22.57571029663086
3, a teddybear,20,21.839794158935547
3, a teddybear,21,22.031312942504883
3, a teddybear,22,22.829452514648438
3, a teddybear,23,21.261737823486328
3, a teddybear,24,21.654050827026367
3, a teddybear,25,21.702430725097656
3, a teddybear,26,21.10321807861328
3, a teddybear,27,22.235626220703125
3, a teddybear,28,20.46208381652832
3, a teddybear,29,21.02678680419922
3, a teddybear,30,21.25579071044922
3, a teddybear,31,21.750215530395508
3, a teddybear,32,21.513935089111328
3, a teddybear,33,21.229671478271484
3, a teddybear,34,21.78528594970703
3, a teddybear,35,20.918968200683594
3, a teddybear,36,19.300750732421875
3, a teddybear,37,20.731924057006836
3, a teddybear,38,21.608388900756836
3, a teddybear,39,20.054847717285156
3, a teddybear,40,20.847152709960938
3, a teddybear,41,21.541961669921875
3, a teddybear,42,18.82049560546875
3, a teddybear,43,21.39031982421875
3, a teddybear,44,21.823945999145508
3, a teddybear,45,20.366561889648438
3, a teddybear,46,19.805721282958984
3, a teddybear,47,20.668434143066406
3, a teddybear,48,21.68181610107422
3, a teddybear,49,21.010005950927734
4, a teddybear,0,18.774173736572266
4, a teddybear,1,18.44394874572754
4, a teddybear,2,18.501052856445312
4, a teddybear,3,18.119916915893555
4, a teddybear,4,18.2215518951416
4, a teddybear,5,16.983369827270508
4, a teddybear,6,18.31299591064453
4, a teddybear,7,19.081073760986328
4, a teddybear,8,17.864395141601562
4, a teddybear,9,19.914457321166992
4, a teddybear,10,19.703712463378906
4, a teddybear,11,18.07575225830078
4, a teddybear,12,18.523231506347656
4, a teddybear,13,18.830848693847656
4, a teddybear,14,18.83727264404297
4, a teddybear,15,18.240135192871094
4, a teddybear,16,19.256336212158203
4, a teddybear,17,19.307214736938477
4, a teddybear,18,18.536550521850586
4, a teddybear,19,18.944677352905273
4, a teddybear,20,18.738082885742188
4, a teddybear,21,18.073801040649414
4, a teddybear,22,21.12338638305664
4, a teddybear,23,19.034818649291992
4, a teddybear,24,18.261592864990234
4, a teddybear,25,17.69371795654297
4, a teddybear,26,18.32411003112793
4, a teddybear,27,20.693918228149414
4, a teddybear,28,19.350391387939453
4, a teddybear,29,18.98263168334961
4, a teddybear,30,19.37641143798828
4, a teddybear,31,21.778968811035156
4, a teddybear,32,18.98805809020996
4, a teddybear,33,19.549270629882812
4, a teddybear,34,19.149789810180664
4, a teddybear,35,20.714323043823242
4, a teddybear,36,16.9035587310791
4, a teddybear,37,18.496694564819336
4, a teddybear,38,19.040510177612305
4, a teddybear,39,18.759504318237305
4, a teddybear,40,18.44924545288086
4, a teddybear,41,19.253726959228516
4, a teddybear,42,16.361902236938477
4, a teddybear,43,18.833576202392578
4, a teddybear,44,19.955753326416016
4, a teddybear,45,18.57486915588379
4, a teddybear,46,20.439922332763672
4, a teddybear,47,19.604183197021484
4, a teddybear,48,19.230195999145508
4, a teddybear,49,18.156051635742188
5, a teddybear,0,20.4648494720459
5, a teddybear,1,20.474950790405273
5, a teddybear,2,19.73682403564453
5, a teddybear,3,19.282522201538086
5, a teddybear,4,17.60268211364746
5, a teddybear,5,19.137685775756836
5, a teddybear,6,21.34030532836914
5, a teddybear,7,21.390426635742188
5, a teddybear,8,18.309003829956055
5, a teddybear,9,18.347797393798828
5, a teddybear,10,18.814470291137695
5, a teddybear,11,21.27291488647461
5, a teddybear,12,19.823196411132812
5, a teddybear,13,17.723312377929688
5, a teddybear,14,21.723770141601562
5, a teddybear,15,19.729598999023438
5, a teddybear,16,18.908639907836914
5, a teddybear,17,19.317527770996094
5, a teddybear,18,19.03122901916504
5, a teddybear,19,20.999990463256836
5, a teddybear,20,19.30723762512207
5, a teddybear,21,20.824905395507812
5, a teddybear,22,19.07288360595703
5, a teddybear,23,20.99785804748535
5, a teddybear,24,19.203033447265625
5, a teddybear,25,22.461977005004883
5, a teddybear,26,20.210521697998047
5, a teddybear,27,19.828266143798828
5, a teddybear,28,20.1875057220459
5, a teddybear,29,21.70612144470215
5, a teddybear,30,21.53525733947754
5, a teddybear,31,20.69166374206543
