prompt_index,prompt,image_index,score
0,painted on a stone,0,13.680694580078125
0,painted on a stone,1,12.115591049194336
0,painted on a stone,2,13.275294303894043
0,painted on a stone,3,17.339927673339844
0,painted on a stone,4,15.00998592376709
0,painted on a stone,5,21.64235496520996
0,painted on a stone,6,14.28484058380127
0,painted on a stone,7,13.507885932922363
0,painted on a stone,8,14.742742538452148
0,painted on a stone,9,16.954795837402344
0,painted on a stone,10,14.188556671142578
0,painted on a stone,11,16.225624084472656
0,painted on a stone,12,19.986112594604492
0,painted on a stone,13,14.8756742477417
0,painted on a stone,14,12.806818008422852
0,painted on a stone,15,17.76563262939453
0,painted on a stone,16,14.484996795654297
0,painted on a stone,17,10.659113883972168
0,painted on a stone,18,13.78156852722168
0,painted on a stone,19,12.324535369873047
0,painted on a stone,20,19.219467163085938
0,painted on a stone,21,14.444531440734863
0,painted on a stone,22,13.090963363647461
0,painted on a stone,23,15.596699714660645
0,painted on a stone,24,12.50607967376709
0,painted on a stone,25,14.719581604003906
0,painted on a stone,26,16.3973445892334
0,painted on a stone,27,19.268539428710938
0,painted on a stone,28,18.705860137939453
0,painted on a stone,29,15.135296821594238
0,painted on a stone,30,12.203447341918945
0,painted on a stone,31,16.168331146240234
0,painted on a stone,32,14.913196563720703
0,painted on a stone,33,27.484203338623047
0,painted on a stone,34,14.490875244140625
0,painted on a stone,35,19.11245346069336
0,painted on a stone,36,13.581216812133789
0,painted on a stone,37,17.978885650634766
0,painted on a stone,38,17.76759910583496
0,painted on a stone,39,17.280517578125
0,painted on a stone,40,13.036589622497559
0,painted on a stone,41,17.648235321044922
0,painted on a stone,42,9.309066772460938
0,painted on a stone,43,16.32402801513672
0,painted on a stone,44,14.94876766204834
0,painted on a stone,45,8.194478988647461
0,painted on a stone,46,15.94127082824707
0,painted on a stone,47,17.138154983520508
0,painted on a stone,48,13.898674964904785
0,painted on a stone,49,15.912496566772461
1,painted on a vase,0,23.427881240844727
1,painted on a vase,1,26.713401794433594
1,painted on a vase,2,24.526010513305664
1,painted on a vase,3,26.271587371826172
1,painted on a vase,4,21.690927505493164
1,painted on a vase,5,17.61750030517578
1,painted on a vase,6,21.272554397583008
1,painted on a vase,7,21.323076248168945
1,painted on a vase,8,23.372325897216797
1,painted on a vase,9,23.906015396118164
1,painted on a vase,10,25.048622131347656
1,painted on a vase,11,25.484127044677734
1,painted on a vase,12,23.749710083007812
1,painted on a vase,13,23.465723037719727
1,painted on a vase,14,22.70091438293457
1,painted on a vase,15,24.74737548828125
1,painted on a vase,16,22.589548110961914
1,painted on a vase,17,25.376955032348633
1,painted on a vase,18,28.019062042236328
1,painted on a vase,19,26.962047576904297
1,painted on a vase,20,15.031661033630371
1,painted on a vase,21,23.362668991088867
1,painted on a vase,22,24.1870174407959
1,painted on a vase,23,23.059001922607422
1,painted on a vase,24,25.887929916381836
1,painted on a vase,25,27.440223693847656
1,painted on a vase,26,23.738704681396484
1,painted on a vase,27,23.075565338134766
1,painted on a vase,28,26.611953735351562
1,painted on a vase,29,25.45406723022461
1,painted on a vase,30,24.863910675048828
1,painted on a vase,31,25.05376434326172
1,painted on a vase,32,22.135066986083984
1,painted on a vase,33,22.81629180908203
1,painted on a vase,34,23.320043563842773
1,painted on a vase,35,18.624187469482422
1,painted on a vase,36,27.58224105834961
1,painted on a vase,37,24.76675796508789
1,painted on a vase,38,23.922462463378906
1,painted on a vase,39,25.254901885986328
1,painted on a vase,40,26.197364807128906
1,painted on a vase,41,25.14176368713379
1,painted on a vase,42,24.056867599487305
1,painted on a vase,43,21.841678619384766
1,painted on a vase,44,27.79701042175293
1,painted on a vase,45,22.41118621826172
1,painted on a vase,46,25.831186294555664
1,painted on a vase,47,22.879779815673828
1,painted on a vase,48,26.605146408081055
1,painted on a vase,49,22.563505172729492
2,painted on a canvas,0,20.915950775146484
2,painted on a canvas,1,19.89375114440918
2,painted on a canvas,2,22.122976303100586
2,painted on a canvas,3,21.456579208374023
2,painted on a canvas,4,21.395137786865234
2,painted on a canvas,5,18.897611618041992
2,painted on a canvas,6,22.0145263671875
2,painted on a canvas,7,21.856281280517578
2,painted on a canvas,8,22.09208106994629
2,painted on a canvas,9,21.475526809692383
2,painted on a canvas,10,21.609106063842773
2,painted on a canvas,11,21.766672134399414
2,painted on a canvas,12,20.055458068847656
2,painted on a canvas,13,21.58928108215332
2,painted on a canvas,14,22.498626708984375
2,painted on a canvas,15,21.1986026763916
2,painted on a canvas,16,23.11540412902832
2,painted on a canvas,17,23.50233268737793
2,painted on a canvas,18,21.075485229492188
2,painted on a canvas,19,19.598691940307617
2,painted on a canvas,20,19.198490142822266
2,painted on a canvas,21,22.332374572753906
2,painted on a canvas,22,21.28047752380371
2,painted on a canvas,23,20.687828063964844
2,painted on a canvas,24,20.490013122558594
2,painted on a canvas,25,22.4735107421875
2,painted on a canvas,26,21.825754165649414
2,painted on a canvas,27,21.74452018737793
2,painted on a canvas,28,22.14654541015625
2,painted on a canvas,29,20.649904251098633
2,painted on a canvas,30,22.13788414001465
2,painted on a canvas,31,19.285737991333008
2,painted on a canvas,32,21.037267684936523
2,painted on a canvas,33,20.578115463256836
2,painted on a canvas,34,22.055274963378906
2,painted on a canvas,35,21.22392463684082
2,painted on a canvas,36,20.57733154296875
2,painted on a canvas,37,19.22141456604004
2,painted on a canvas,38,20.060583114624023
2,painted on a canvas,39,21.877426147460938
2,painted on a canvas,40,19.50658416748047
2,painted on a canvas,41,21.54680633544922
2,painted on a canvas,42,21.36769676208496
2,painted on a canvas,43,23.621549606323242
2,painted on a canvas,44,22.612354278564453
2,painted on a canvas,45,20.188716888427734
2,painted on a canvas,46,23.04319190979004
2,painted on a canvas,47,19.80067253112793
2,painted on a canvas,48,22.344165802001953
2,painted on a canvas,49,20.651514053344727
3,painted on a building,0,12.116583824157715
3,painted on a building,1,8.433526992797852
3,painted on a building,2,11.441235542297363
3,painted on a building,3,16.97856903076172
3,painted on a building,4,11.259987831115723
3,painted on a building,5,16.13068199157715
3,painted on a building,6,14.184162139892578
3,painted on a building,7,16.22568130493164
3,painted on a building,8,13.994900703430176
3,painted on a building,9,11.37723445892334
3,painted on a building,10,11.030016899108887
3,painted on a building,11,10.637645721435547
3,painted on a building,12,22.310848236083984
3,painted on a building,13,10.306314468383789
3,painted on a building,14,6.901546001434326
3,painted on a building,15,22.82036590576172
3,painted on a building,16,8.071284294128418
3,painted on a building,17,19.03591537475586
3,painted on a building,18,11.826380729675293
3,painted on a building,19,15.364341735839844
3,painted on a building,20,20.961502075195312
3,painted on a building,21,13.469793319702148
3,painted on a building,22,8.331890106201172
3,painted on a building,23,12.66026782989502
3,painted on a building,24,10.075684547424316
3,painted on a building,25,11.884496688842773
3,painted on a building,26,22.39772605895996
3,painted on a building,27,14.135876655578613
3,painted on a building,28,17.523778915405273
3,painted on a building,29,12.728270530700684
3,painted on a building,30,10.200279235839844
3,painted on a building,31,19.6990909576416
3,painted on a building,32,10.768545150756836
3,painted on a building,33,20.716943740844727
3,painted on a building,34,8.58425235748291
3,painted on a building,35,11.797574996948242
3,painted on a building,36,9.114011764526367
3,painted on a building,37,23.261293411254883
3,painted on a building,38,10.584600448608398
3,painted on a building,39,9.719921112060547
3,painted on a building,40,6.907361030578613
3,painted on a building,41,10.673713684082031
3,painted on a building,42,10.435720443725586
3,painted on a building,43,12.304442405700684
3,painted on a building,44,18.474435806274414
3,painted on a building,45,13.118426322937012
3,painted on a building,46,11.22107982635498
3,painted on a building,47,10.008959770202637
3,painted on a building,48,13.648197174072266
3,painted on a building,49,9.894777297973633
4,painted on a wall,0,13.877177238464355
4,painted on a wall,1,12.714142799377441
4,painted on a wall,2,19.44742202758789
4,painted on a wall,3,22.4266300201416
4,painted on a wall,4,11.63810920715332
4,painted on a wall,5,11.027359962463379
4,painted on a wall,6,13.900086402893066
4,painted on a wall,7,14.3599271774292
4,painted on a wall,8,16.149511337280273
4,painted on a wall,9,18.376075744628906
4,painted on a wall,10,18.591394424438477
4,painted on a wall,11,12.440253257751465
4,painted on a wall,12,14.570951461791992
4,painted on a wall,13,21.33071517944336
4,painted on a wall,14,15.980746269226074
4,painted on a wall,15,20.29981231689453
4,painted on a wall,16,15.911722183227539
4,painted on a wall,17,17.99751091003418
4,painted on a wall,18,21.15933609008789
4,painted on a wall,19,13.399517059326172
4,painted on a wall,20,15.816581726074219
4,painted on a wall,21,16.936925888061523
4,painted on a wall,22,16.211214065551758
4,painted on a wall,23,15.2240571975708
4,painted on a wall,24,15.883162498474121
4,painted on a wall,25,21.1739501953125
4,painted on a wall,26,13.732120513916016
4,painted on a wall,27,18.32774543762207
4,painted on a wall,28,16.55112648010254
4,painted on a wall,29,20.408435821533203
4,painted on a wall,30,17.781614303588867
4,painted on a wall,31,16.828832626342773
4,painted on a wall,32,14.121667861938477
4,painted on a wall,33,21.53997802734375
4,painted on a wall,34,20.270414352416992
4,painted on a wall,35,19.976350784301758
4,painted on a wall,36,15.044615745544434
4,painted on a wall,37,15.378019332885742
4,painted on a wall,38,24.338394165039062
4,painted on a wall,39,10.747820854187012
4,painted on a wall,40,16.80609703063965
4,painted on a wall,41,20.264873504638672
4,painted on a wall,42,16.07375717163086
