prompt_index,prompt,image_index,score
0,painted on a stone,0,13.791865348815918
0,painted on a stone,1,15.154382705688477
0,painted on a stone,2,20.396270751953125
0,painted on a stone,3,15.490833282470703
0,painted on a stone,4,13.232848167419434
0,painted on a stone,5,19.260988235473633
0,painted on a stone,6,18.635984420776367
0,painted on a stone,7,12.483686447143555
0,painted on a stone,8,14.615924835205078
0,painted on a stone,9,14.536811828613281
0,painted on a stone,10,14.61204719543457
0,painted on a stone,11,18.669355392456055
0,painted on a stone,12,16.572050094604492
0,painted on a stone,13,12.821178436279297
0,painted on a stone,14,12.247906684875488
0,painted on a stone,15,12.981505393981934
0,painted on a stone,16,23.455047607421875
0,painted on a stone,17,21.570505142211914
0,painted on a stone,18,20.61261749267578
0,painted on a stone,19,15.97889232635498
0,painted on a stone,20,21.62080192565918
0,painted on a stone,21,14.475497245788574
0,painted on a stone,22,21.72285270690918
0,painted on a stone,23,21.4316349029541
0,painted on a stone,24,18.51371955871582
0,painted on a stone,25,13.743071556091309
0,painted on a stone,26,17.615915298461914
0,painted on a stone,27,13.91612434387207
0,painted on a stone,28,24.728551864624023
0,painted on a stone,29,14.006587982177734
0,painted on a stone,30,25.8904972076416
0,painted on a stone,31,19.474624633789062
0,painted on a stone,32,18.951562881469727
0,painted on a stone,33,15.750402450561523
0,painted on a stone,34,15.976439476013184
0,painted on a stone,35,12.746752738952637
0,painted on a stone,36,12.87826156616211
0,painted on a stone,37,18.222143173217773
0,painted on a stone,38,12.176480293273926
0,painted on a stone,39,16.317033767700195
0,painted on a stone,40,12.000336647033691
0,painted on a stone,41,20.609580993652344
0,painted on a stone,42,19.623571395874023
0,painted on a stone,43,16.356828689575195
0,painted on a stone,44,12.652501106262207
0,painted on a stone,45,21.387104034423828
0,painted on a stone,46,27.915870666503906
0,painted on a stone,47,17.6005859375
0,painted on a stone,48,18.212854385375977
0,painted on a stone,49,20.006818771362305
1,painted on a vase,0,27.97389030456543
1,painted on a vase,1,25.542619705200195
1,painted on a vase,2,24.871023178100586
1,painted on a vase,3,23.806259155273438
1,painted on a vase,4,26.915847778320312
1,painted on a vase,5,21.263113021850586
1,painted on a vase,6,24.31430435180664
1,painted on a vase,7,22.728961944580078
1,painted on a vase,8,21.164243698120117
1,painted on a vase,9,22.07430648803711
1,painted on a vase,10,25.55577850341797
1,painted on a vase,11,22.452341079711914
1,painted on a vase,12,22.915796279907227
1,painted on a vase,13,25.032541275024414
1,painted on a vase,14,20.55126953125
1,painted on a vase,15,20.158660888671875
1,painted on a vase,16,22.389568328857422
1,painted on a vase,17,26.56548309326172
1,painted on a vase,18,24.313873291015625
1,painted on a vase,19,26.178062438964844
1,painted on a vase,20,25.73660659790039
1,painted on a vase,21,23.178661346435547
1,painted on a vase,22,23.74759864807129
1,painted on a vase,23,25.904958724975586
1,painted on a vase,24,26.110488891601562
1,painted on a vase,25,26.870107650756836
1,painted on a vase,26,25.278564453125
1,painted on a vase,27,23.946582794189453
1,painted on a vase,28,20.007587432861328
1,painted on a vase,29,25.129846572875977
1,painted on a vase,30,24.52245330810547
1,painted on a vase,31,19.016067504882812
1,painted on a vase,32,25.781389236450195
1,painted on a vase,33,24.5413818359375
1,painted on a vase,34,24.851966857910156
1,painted on a vase,35,28.052324295043945
1,painted on a vase,36,24.923307418823242
1,painted on a vase,37,23.715600967407227
1,painted on a vase,38,25.519054412841797
1,painted on a vase,39,26.658037185668945
1,painted on a vase,40,26.87417221069336
1,painted on a vase,41,25.070220947265625
1,painted on a vase,42,27.71626091003418
1,painted on a vase,43,21.880229949951172
1,painted on a vase,44,20.293039321899414
1,painted on a vase,45,23.57809829711914
1,painted on a vase,46,23.64307975769043
1,painted on a vase,47,20.256147384643555
1,painted on a vase,48,22.366689682006836
1,painted on a vase,49,27.708139419555664
2,painted on a canvas,0,19.404129028320312
2,painted on a canvas,1,22.85553550720215
2,painted on a canvas,2,24.189796447753906
2,painted on a canvas,3,20.61623191833496
2,painted on a canvas,4,19.716123580932617
2,painted on a canvas,5,19.901790618896484
2,painted on a canvas,6,21.384918212890625
2,painted on a canvas,7,18.912742614746094
2,painted on a canvas,8,22.65839958190918
2,painted on a canvas,9,21.3756103515625
2,painted on a canvas,10,20.671419143676758
2,painted on a canvas,11,20.43185043334961
2,painted on a canvas,12,20.808794021606445
2,painted on a canvas,13,19.46967315673828
2,painted on a canvas,14,20.544225692749023
2,painted on a canvas,15,22.59988784790039
2,painted on a canvas,16,20.76181411743164
2,painted on a canvas,17,22.418201446533203
2,painted on a canvas,18,19.62993049621582
2,painted on a canvas,19,19.87982749938965
2,painted on a canvas,20,20.584095001220703
2,painted on a canvas,21,21.20047378540039
2,painted on a canvas,22,21.92505645751953
2,painted on a canvas,23,19.31645965576172
2,painted on a canvas,24,22.253210067749023
2,painted on a canvas,25,21.27474021911621
2,painted on a canvas,26,19.545745849609375
2,painted on a canvas,27,20.55801773071289
2,painted on a canvas,28,20.07721710205078
2,painted on a canvas,29,22.309341430664062
2,painted on a canvas,30,20.853687286376953
2,painted on a canvas,31,19.502634048461914
